web-scraper-order,web-scraper-start-url,Event,Event-href,Title,Date and Time,Location,Description,Organizer_link,Organizer_link-href
"1680702134-117","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","The Art Business Conference New York 2023The Art Business Conference New York 2023","https://www.eventbrite.co.uk/e/the-art-business-conference-new-york-2023-tickets-541994128027?aff=ebdssbdestsearch","The Art Business Conference New York 2023","Wed, 26 Apr 2023 08:30 - Thu, 27 Apr 2023 13:30 EDT","300 Madison Ave 300 Madison Avenue New York, NY 10017","About this event1 day 5 hoursMobile eTicketThe Art Business Conference is the conference for art world professionals in New York. If you are involved in buying, selling or caring for art, whether as a gallery owner, operations director, art advisor, studio manager, foundation, private collector, auctioneer or museum professional, this conference covers the key aspects of running an art business or collection.  The conference will also mark the publication and presentation of three industry leading reports together with panel discussions and educational workshops, where industry experts will share specialist advice and insight on the art world - from best practice to the latest updates in legislation & tech.  In the Business Pavilion, you can meet speakers and our exhibitors to continue the discussions and expand your art business network.  For 2023, we will be introducing an additional half day of talks on 27th April that will focus on sustainability with workshops and training, please select the sessions you would like to attend at checkout. AgendaWednesday April 26, 2023 8:45-9:15am: Coffee Welcome and networking in the Business Pavilion 9:15-9:20: Welcome by Julia Halperin, Conference Chair9:20-10:35: Sustainability and the artworld: responsibly operating art businesses in the time of the climate crisis requires cross-sector collaboration in order to make meaningful shifts towards sustainable models. After a momentary pause in operations after 2020, the art world is back in full swing with a robust pace of art fairs, exhibitions, and travel. How can galleries, shippers, and insurers work together to advance commitments to climate action in the sector? Speakers: Laura Lupton (LHL Consulting & Barder), Jake Burgess (AXA XL), Ted MacLean (Crozier), Maureen Bray (ADAA)10:35-10:50: The Art Provenance Report: following a successful inaugural Art Provenance Symposium earlier this year, we present, The Report. An essential addition to the various yearly art market reports, the report addresses the state of due diligence and provenance research across the institutional and private sectors. During the Art Provenance Symposium, over 20 delegates offered their expert opinions on issues ranging from repatriation and restitution, new databases and research tools, case studies on a wide range of possible red flags and different approaches to provenance research, the current cultural heritage crisis in Ukraine, and the change in public perception throughout the decades. The Report contextualizes the main themes, emphasizing the key issues faced by art market professionals, independent researchers and curators. A steppingstone in the solidification of the relationship between the private and institutional culture sector, the reports aim is to broaden the conversation on ‘How much due diligence qualifies as duly diligent’ and ideally agree on a universal provenance standard. Presenter: Angelina Giovani (Flynn & Giovani Art Provenance Research)10:50-11:20: Coffee & Networking Break in the Business Pavilion 11:20-12:20: From Wallflower to Wealth Generator: how Art Lending unlocks value in an increasingly muddy landscape.  Our panel of art financiers will discuss various art lending business models (private banks, specialty art finance companies and auction house lenders) in the new normal of an increasingly challenging global banking environment. To help art owners navigate these options, the panelists will highlight the differences in underwriting guidelines of the various liquidity solutions. This all-women panel, moderated by Tim Schneider of Artnet News, will address the ways that the art lending space has evolved around the globe in the last decade. Topics will include creative ways that collectors, gallerists, estates, trustees, museums and others, are using art loans to meet their financial objectives and key challenges for both lenders and borrowers in the current market. Finally, the panel will discuss ways that the art financing landscape is likely to evolve in the coming years. Speakers: Rebecca Fine (Athena Art Finance), Sayuri Ganepola (Christie's), Deborah Larrison (Bank of America) and moderated by Tim Schneider (artnet)12:20-12:40: Artsy's Art Industry Trends Report. Presenter: Alexander Forbes 12:40-12:45: Presentation: Edouard Gouin (Convelio)12:45-13:40: Networking lunch in the Business Pavilion 13:45-14:45: Cyber Workshop: Are you cyber target? The panel will explore the cyber threat environment, vulnerabilities you face along with the importance of implementing cyber security controls to minimize an attack and how to recover from reputational damage.  Speakers: Brenden Beu (Synergy) and Marty Ross (Gallagher)14:45-15:45: Hire & Inspire: Employment in Today’s Art World: against a background of the introduction of the New York salary transparency mandate as well as new, shifting workplace expectations on the part of both employer and employees, our panel will explore key trends and best practice.  From the legal requirements around hiring, including contract formation, confidentiality, non-solicits, non-competes, to new standards focused on retaining, developing, and incentivising teams, we will ask our panel to share advice and relevant case studies.  Speakers: Rebecca Zaretsky (David Zwirner), Anita Ragusa (Consultant), Ruofei Xiang (Mazzola Lindstrom), Rosie Allan (Sophie Macpherson) and moderated by Cat Manson (Executive Coach & Consultant)15:45 - 16:15: Networking coffee break sponsored by Mazzola Lindstrom 16:15-17:15: Art & Technology panel: these three key innovative art tech companies are paving the way for how technology can change the business of art for galleries, collectors and artists around the world. Join us as they break down the top emerging technology trends for 2023, and reveal some of the exciting innovations they are developing. Speakers: Joe Elliott (Artlogic), Dustyn Kim (Artsy), Edouard Gouin (Convelio) and moderated by Lexy Schmertz (Christie's Ventures)17:15: Closing remarks: Julia Halperin Conference Chair17:20-18:20 - Networking drinks in the Business Pavilion On April 27th there will be an additional half day of talks (morning only) and you can choose the following sessions: Breakout talks: The Market - what are the opportunities and blocks to climate action in the 2023 art market?The Institution / The Makers / The Exhibition - what are the opportunities and blocks to climate action in 2023 arts programming and exhibitionsFollowed by the following workshops:Understanding Climate Impact ReportingPacking/Shipping/Materials: Solutions and Services Climate ControlTicket prices include entry to all sessions, breakfast networking, refreshments, lunch and post-conference networking drinks plus Day 2 talks, please choose which talks you want to attend at checkout. Please visit www.artmarketminds.com to discover our speaker biographies and other upcoming events. Art Market Minds Accommodation We’ve also partnered with Turon Travel for a hotel nearby the venue, you can book here","Art Market Minds","https://www.eventbrite.co.uk/o/art-market-minds-6241950927"
"1680702137-118","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","April Lady Tech Guild MeetingApril Lady Tech Guild Meeting","https://www.eventbrite.com/e/april-lady-tech-guild-meeting-tickets-576502322967?aff=ebdssbdestsearch","April Lady Tech Guild Meeting","Wednesday, April 5 · 7 - 10pm EDT","ONX Studio 645 5th Avenue Lower Level, NY 10022","About this event3 hoursMobile eTicketJoin us for our April Lady Tech Guild Meeting! This month we are hosting a motion capture tech demo by LaJuné McMillian at ONX Studio. No prior experience needed! Please join us for networking, drinks, and snacks. ONX is interested in supporting women in tech and is excited to open its doors to the Lady Tech Guild!We can't wait to see you!About LaJuné:LaJuné is a Multidisciplinary Artist, and Educator creating art that integrates performance, extended reality, and physical computing to question our current forms of communication. They are passionate about discovering, learning, manifesting, and stewarding spaces for liberated Black Realities and the Black Imagination. LaJune believes in making by diving into, navigating, critiquing, and breaking systems and technologies that uphold systemic injustices to decommodify our bodies, undo our indoctrination, and make room for different ways of being.LaJuné has had the opportunity to show and speak about their work at Pioneer Works, National Sawdust, Leaders in Software and Art, Creative Tech Week, and Art & Code's Weird Reality. LaJuné was previously the Director of Skating at Figure Skating in Harlem, where they integrated STEAM and Figure Skating to teach girls of color about movement and technology. They have continued their research on Blackness, movement, and technology during residencies and fellowships at the Jerome Hill Artist Fellowship, Eyebeam, Pioneer Works, Barbarian Group, and Barnard College.About ONX Studio:ONX Studio is a hybrid production and exhibition space with a global community of members who create interactive and immersive XR works. Located in the Onassis Gallery in Midtown Manhattan, it was founded in partnership by the Onassis Foundation and New Museum’s NEW INC.","Lady Tech Guild","https://www.eventbrite.com/o/lady-tech-guild-62084449153"
"1680702141-119","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","Starta Spring 2023 Pitch ContestsStarta Spring 2023 Pitch Contests","https://www.eventbrite.com/e/starta-spring-2023-pitch-contests-tickets-577543607477?aff=ebdssbdestsearch","Starta Spring 2023 Pitch Contests","Headquartered in New York City, USA, Starta Ventures, unites under its brand an early-stage investment fund, acceleration program, and co-working space. Starta’s mission is to break through traditional venture capital barriers to empower the next generation of tech entrepreneurs.","220 E 23rd St 220 East 23rd Street Suite 400 New York, NY 10010","About this eventStarta Accelerator cordially invites you to our Spring 2023 Pitch Contests in NYC!Schedule:6﻿:00 - 6:30 PM - Doors Open6:30 - 8:00 PM - Founders' Pitches, Q&A8:00 - 9:00 PM - Happy Hour & NetworkingWatch as founders hone their startups' pitch in front of a panel of judges, consisting of VCs, angels and industry experts.After the presentations, we will have a Q&A. Then, you can network with other frontrunners, entrepreneurs and investors of the NYC startup scene.Refreshments served.Starta is a venture ecosystem that finds, fosters, and funds early-stage talent in tech.Our mission is to provide opportunities to:International startups who want to scale globally and raise capitalAspiring industry leaders, seeking professional trainingInvestors who believe in long-term growth potential and strong community connectionsIf you need a promo code, please reach out to fc@starta.vcH﻿ere are our cohort startups: https://starta.vc/spring2023","Starta","https://www.eventbrite.com/o/starta-17792910582"
"1680702144-120","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","TECHSPO New York 2023 Technology Expo (Internet ~ AdTech ~ MarTech)TECHSPO New York 2023 Technology Expo (Internet ~ AdTech ~ MarTech)","https://www.eventbrite.com/e/techspo-new-york-2023-technology-expo-internet-adtech-martech-tickets-442445776227?aff=ebdssbdestsearch","TECHSPO New York 2023 Technology Expo (Internet ~ AdTech ~ MarTech)","April 27 · 9am - April 28 · 4pm EDT","New York Marriott at the Brooklyn Bridge Hotel 333 Adams St New York, NY 11201","About this event1 day 7 hoursMobile eTicketAbout TECHSPO New York 2023Where Business, Tech and Innovation Collide in NYC! TECHSPO New York 2023 is your chance to …– Check out exhibitors showcasing the next generation of technology & innovation.– Be inspired, amazed and educated on how these evolving technologies will impact your business for greater growth.– Interact with technology enthusiasts, build your network and reunite with your peers.The 9th annual TECHSPO New York, two-day technology expo returns April 27th and 28th, 2023 to the luxurious New York Marriott at the Brooklyn Bridge Hotel in New York City, NY. TECHSPO New York brings together some of the best developers, brands, marketers, technology providers, designers, innovators and evangelists looking to set the pace in our advanced world of technology. Watch exhibitors showcase the next generation of advances in technology & innovation, including; Internet, Mobile, AdTech, MarTech and SaaS technologies. Be prepared to be inspired, amazed and educated on how these evolving technologies will impact your business for greater growth.As part of TECHSPO New York is a limited attendance paid event, DigiMarCon East 2023 Digital Marketing, Media and Advertising Conference (https://digimarconeast.com). If the conference is where the learning, theory and inspiration happens, then the TECHSPO floor is where the testing, networking and product interaction takes place. For complete details visit https://techsponyc.com.Event ZonesHere’s a peek at what you will see at TECHSPO:Auditorium - The Auditorium is a live stage with round-table seating of speaker presentations. Presentations feature Keynotes. Industry Panels and Master Classes given by Expert Speakers in the digital marketing industry, providing attendees with digital marketing best practices, latest trends, practical solutions and strategy.Exhibition Hall - The Exhibition Hall showcases the next generation of technology & innovation; Internet, Mobile, AdTech, MarTech and SaaS. The Exhibition Hall includes ample break tables for networking with your peers. Training Theater - The Training Theater has a mix of a selection of live streamed sessions from DigiMarCon Digital Marketing, Media and Advertising Conference throughout the event program and a Lunch and Learn presentation during the Networking Luncheon.Podcast Studio - The Podcast Studio is an interactive space where visitors are able to sit in and view live intermittent interviews between a host and selected exhibitors, speakers and. Dining Hall  - The Dining Hall is where food and beverage catering is provided. Use these scheduled networking breaks to get to know the people you connect with via social networks—up close and personal.Photo Booth - Get your photo taken at the Photo Booth and real-time share on your Social Media Channels. The Photo Booth is a fun interactive experience in the Exhibition Hall that makes your visit more memorable. PassesCheck out your pass options below. For the best onsite experience a 1-Day Training Pass or 2-Day All Access Pass is recommended.-﻿-------------------------------------------------------------------------------------------------Visitor Pass is a 1-day limited pass that includes:TECHSPO Hall (Access between 9:00am - 4:00pm)The Visitor Pass does NOT include:DigiMarCon Auditorium AccessExpo BagCertificate of AttendanceWelcome RefreshmentsNetworking Luncheon-﻿-------------------------------------------------------------------------------------------------Training Pass is a 1-day full pass that includes:TECHSPO Hall (Access between 9:00am - 4:00pm)DigiMarCon Auditorium (Access between 10:00am - 3:00pm)Expo BagCertificate of AttendanceWelcome Refreshments: 9:00am – 10:00amNetworking Luncheon: 12:00pm – 1:30pm-﻿-------------------------------------------------------------------------------------------------All Access Pass is a 2-day full pass that includes:TECHSPO Hall (Access between 9:00am - 4:00pm)DigiMarCon Auditorium (Access between 10:00am - 3:00pm)Expo BagCertificate of AttendanceWelcome Refreshments: 9:00am – 10:00amNetworking Luncheon: 12:00pm – 1:30pmRegister NowWill you be at TECHSPO New York 2023? REGISTER NOW as space is limited.TECHSPO New York 2023 will sell out, so register early!For complete details about TECHSPO New York 2023 visit https://techsponyc.comIf you have any inquiry about TECHSPO New York 2023, contact our Customer Service team by Email at info@techspo.co or Phone +1 (800) 805-5385 (Toll Free).","TECHSPO Technology Expo Global Series","https://www.eventbrite.com/o/techspo-technology-expo-global-series-55210999463"
"1680702147-121","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","Infrastructure for Climate ResilienceInfrastructure for Climate Resilience","https://www.eventbrite.com/e/infrastructure-for-climate-resilience-tickets-601699688967?aff=ebdssbdestsearch","Infrastructure for Climate Resilience","Tuesday, April 18 · 5:45 - 7pm EDT","Fayerweather Hall, Room 513 1180 Amsterdam Avenue New York, NY 10027","About this event1 hour 15 minutesMobile eTicketGeorge Deodatis addresses the threat posed by the combination of sea level rise and storm-induced flooding to interdependent infrastructure, including its above- and below-ground components. The ultimate objective is to establish optimal adaptation/mitigation strategies within a prescribed budget. Strategies in this context include, but are not restricted to, building sea-walls or other artificial and natural protective mechanisms, as well as strategic retreat.Thaddeus Pawlowski will then delve into the crucial topic of climate adaptation in New York City, where he'll share invaluable insights learned from the devastating impact of Hurricane Sandy on housing displacement and neighborhood recovery. He will explore why addressing the climate crisis is not just a matter of environmental concern, but also an urgent call to redesign urban systems that perpetuate social vulnerability, and pave the way for a more resilient and sustainable future.Event SpeakersGeorge Deodatis, Santiago and Robertina Calatrava Family Professor of Civil Engineering and Professor of Earth and Environmental Engineering at Columbia UniversityThaddeus Pawlowski, Director of the Center for Resilient Cities and Landscapes at Columbia UniversityModerated by Sarah Cole, Parr Professor of English and Comparative Literature and Dean of the Humanities at Columbia UniversityEvent InformationFree and open to the public; registration required. All in-person attendees must follow Columbia's COVID-19 policies. Visitors will be asked to provide proof of COVID-19 vaccination. Online attendees will receive a Zoom link from Eventbrite. Please email scienceandsociety@columbia.edu with any questions. Part of the Climate and Society series. Hosted byCenter for Science and SocietyColumbia Climate SchoolDean of HumanitiesEarth InstituteLamont-Doherty Earth ObservatoryClimate and Society MA ProgramThe Center for Science and Society makes every reasonable effort to accommodate individuals with disabilities. If you require disability accommodations to attend a Center for Science and Society event, please contact us at scienceandsociety@columbia.edu or (212) 853-1612 at least 10 days in advance of the event. For more information, please visit the campus accessibility webpage.","The Center for Science and Society","https://www.eventbrite.com/o/the-center-for-science-and-society-8449633279"
"1680702150-122","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","RevTech Labs, Holt Xchange, and ICBA Present: NYC Fintech Week Top 20RevTech Labs, Holt Xchange, and ICBA Present: NYC Fintech Week Top 20","https://www.eventbrite.com/e/revtech-labs-holt-xchange-and-icba-present-nyc-fintech-week-top-20-tickets-514458989687?aff=ebdssbdestsearch","RevTech Labs, Holt Xchange, and ICBA Present: NYC Fintech Week Top 20","Thursday, April 27 · 9am - 12pm EDT","Rise New York 43 West 23rd Street New York, NY 10010","About this event3 hoursMobile eTicketIn celebration of NY Fintech Week, RevTech Labs, Holt Xchange, and ICBA  are travelling all the way to the big apple to showcase their startups on Thursday, April 27, 2023.This event will be hosted at Rise NY located  at 43 W 23rd St, New York, NY 10010. Come enjoy breakfast in the city and hear our top 20 startups of Fintech and Insurtech pitch!There will be an attendee poll followed by networking.Please note: The final line up of startups will be shared once all logistics are finalized. -Learn more about the organizers of the event:RevTech Labs is a global entrepreneurial hub based out of Charlotte, NC that operates a 12 week hybrid accelerator program for fintech, insurtech, and healthtech companies. RevTech Labs also hosts two large fintech conferences in the Southeast: Generations and Venture 135. The Holt Xchange is Canada's most active seed fintech investor.  Supported through five generations of experience and a robust global network, Holt Xchange is powering innovative tech products, world-class companies, and entrepreneurs, helping shape the future of their businesses and technology in the financial services sector. ICBA supports fair competition for financial institutions, maintaining the separation of banking and commerce, and a balanced financial system to prevent the concentration of economic and financial-services resources. ICBA is committed to upholding the highest professional standards in community banking and providing programs tailored specifically for community bankers. Rise, created by Barclays, is a global community of the world's top innovators working together to create the future of financial services. Rise operates FinTech hubs around the world, where cutting-edge startups and scale-ups can connect, create and scale their businesses, backed by our Barclays global network of industry experts, mentors, investors and partners.","RevTech Labs","https://www.eventbrite.com/o/revtech-labs-13076946308"
"1680702154-123","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023","https://www.eventbrite.com/e/the-nest-climate-campus-official-event-partner-of-climate-week-nyc-2023-tickets-483373441977?aff=ebdssbdestsearch","The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023","September 19 · 8:30am - September 21 · 5:30pm EDT","Javits Center 445 11th Avenue New York, NY 10001","About this event2 days 9 hoursMobile eTicketThe Nest Climate CampusThe Nest Climate Campus,  home to hundreds of sustainable brands, businesses, individuals, and organizations, provides a unifying destination for climate action during Climate Week NYC.  We aim to accelerate climate solutions through collaboration and community. That’s why The Nest Climate Campus hosts cutting-edge discussions on the Main Stage, partners with leading organizations to bring Co-hosted Events under one green roof at the Javits Center, and bolsters rich networking opportunities through the various community engagement activities.It's all happening at the Javits Center during Climate Week NYC (September 19 - 21, 2023). About The Main Stage SummitWith your ticket, access the brightest minds and most committed organizations of the climate solutions movement! The Nest Summit Campus's Main Stage brings thought-leaders from leading organizations and the climate community together for two full days of education, inspiration, and collaboration. About The Campus Community Engagements & HappeningsConnecting communities is paramount at The Nest Climate Campus. In addition to the Summit Main Stage conference and Co-hosted Meetings & Events, attendees will enjoy extended community engagement activities. Partake in the many opportunities to explore, network, and feast!CLIMATE COLLECTIVEActivations and Networking Spaces Provide an Environment for Connecting with Colleagues and Discovering Climate Solutions. CLIMATE ARTSDesigned to Inspire, Immerse Yourself in the Intersection of Art and Action.GREEN ROOF TOURSThe Javits Center will be offering free tours of its 6.75-acre green roof, one of the largest of its kind in the United States! GARDEN EATERYAdjacent to the Javits' rooftop farm, orchard, and gardens, feast on a plant-based menu with vegan and vegetarian options for breakfast and lunch, and learn something new! Experience the circular story around the Javits food management system – from roof to table, local sourcing, and waste management. SPECIAL APPEARANCESHear from some of the most influential thought-leaders in the New York government and NGOs who are championing legislation and community service.  Please see our health & safety policy before arriving to the event. By registering for The Nest Climate Campus event, you agree to the event organizer's photo & video policy and privacy policy.","NXT Events Media Group","https://www.eventbrite.com/o/nxt-events-media-group-33584111599"
"1680702157-124","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","Out in Tech | We're Tech-nically Dating with PeoplehoodOut in Tech | We're Tech-nically Dating with Peoplehood","https://www.eventbrite.com/e/out-in-tech-were-tech-nically-dating-with-peoplehood-tickets-600582096217?aff=ebdssbdestsearch","Out in Tech | We're Tech-nically Dating with Peoplehood","Starts on Thursday, April 6 · 6pm EDT","Peoplehood 109 W 17th St New York, NY 10011","About this event2 hoursMobile eTicket The rise of U.S. dating apps has fundamentally altered how members of the LGBTQ+ community find partners and connect to one another. In fact, nearly two-thirds of gay and lesbian couples in the U.S. met online. How are dating apps creating inclusive spaces for all queer & trans people to find love? What are some new technologies being leveraged to keep us safe? The event is intended to bring together representatives from leading dating companies open to the LGBTQ+ community to discuss how employees think about reaching and supporting segments of the community as well as factors such as privacy and inclusion21+. Wine & beer available for sale during the event by PeoplehoodWe want to make sure this conversation is representative of the many diverse experiences in our community, and so we are allowing priority registration to our Women, Trans, Gender Expansive, and POC MembersA﻿bout PeoplehoodCreated by the founders of SoulCycle, Peoplehood is a guided group conversation practice that helps people connect and feel more connected in a disconnected world. In 60-minute sessions called “Gathers,” participants practice active listening, the #1 relationship-building skill. There are two Gather formats: Peoplehood, where people come solo, meet others, process life, and hear themselves think, and Couplehood, where partners spend intentional time together communicating and connecting. Gathers take place daily in-person at Peoplehood’s flagship NYC location (109 W 17th St) and online at Peoplehood.com. The peer-to-peer structure, facilitated by a “super-connector” Guide, inspires self-awareness, transformative “aha moments,” and high quality human connections.   PANELISTS R﻿obyn Exton (She/Her)Robyn is the CEO & Founder of HER the world's largest platform for LGBTQ womxn & queer people. HER builds products and experiences that connect womxn in the way that works best for them. Their app is home to 5million people across 113 countries, with dating and community connections, and their events run in 12 cities, hosting 50,000 people per year.Marcus Lofthouse (He / Him)Chief Product Officer of OKCupidKel Rakowski (She / Her)Kel is the CEO and Founder of Lex, the #1 app for finding LGBTQ+ friends &  community. Lex gives people the power to explore what's happening in their local queer scene and find friends, events + community, dates, and hookups.Adam Cohen-AslateiAdam is the managing director at Tawkify, the #1 Matchmaking club in America- he is also the founder of S'More, the world's first anti-superficial relationship app that he sold to Tawkify in 2023.  Adam is the former Managing Director  of Chappy, Bumble’s gay dating app. He also spent almost 5 years at The Meet Group (MeetMe, Skout, Tagged, Hi5, Lovoo, and Growlr), and has consulted for companies including for Spark Network (Zoosk, JDate, Christian Mingle) and Perry Street. Adam is a high growth digital marketing expert, having led marketing teams for both leading publishers and for ad tech companies. Hailing from Montreal, Adam attended McGill University for undergraduate studies, and earned a Master’s degree from Harvard University. Adam is a media/marketing thought leader and has been featured in TechCrunch, Marie Claire, Elle, Forbes, Fox News, ABC, The Drum, CheddarTV, AdWeek, Daily Mail, The Washingtonian and more.In 2018 he received the Advertising Club of New York's President Award for his work and dedication to the industry.Michael Kaye (He / Him)Michael Kaye is the global director of brand marketing and communications at OkCupid where he oversees communications, influencer marketing and social media. He joined the brand in 2019, and has since been recognized by Business Insider, PR News, PRovoke Media, PRSA-NY, PRWeek, Stevie AwardsM﻿oderator Andy KrautAndy has been an active voice in the world of digital media since his career began in 2007. Over the years, he’s had the opportunity to work at companies like BuzzFeed, Yahoo!, Funny Or Die, and OMD. But for the past 3 and a half years, he’s been at Grindr where he gets to combine his passion for marketing and love of the gay community into the perfect career, growing brand partnerships across the globe. He lives with his husband in Downtown, Brooklyn.COVID-19 Notice: T﻿his event will largely be indoors. We are operating under good faith that attendees are vaccinated & have tested negative for COVID-19 day of the event. If you have tested positive for COVID-19, we ask that you please not attend the event for the sake of all other attendees","Out in Tech","https://www.eventbrite.com/o/out-in-tech-4536487671"
"1680702160-125","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","NY TECH & PROFESSIONAL OUTDOOR NETWORKING EVENT.NY TECH & PROFESSIONAL OUTDOOR NETWORKING EVENT.","https://www.eventbrite.com/e/ny-tech-professional-outdoor-networking-event-tickets-556122907587?aff=ebdssbdestsearch","NY TECH & PROFESSIONAL OUTDOOR NETWORKING EVENT.","Saturday, April 8 · 1 - 3pm EDT","Central Park Central Park New York, NY 11211","About this event2 hoursMobile eTicketFOLLOWING THE NEW NORM - OUTDOOR PROFESSIONAL NETWORKING EVENTMeet Like Minded Entrepreneurs, Techie, Founders & ProfessionalsSharing Ideas, Building Relationships & Forming PartnershipsLocation - Central Park ( Exact Location shall be emailed to registered members one day before the event)Calling All: Tech Startups ! Entrepreneurs ! Bussiness Owners ! Professionals ! Free-lancers, policy-makers, game-changers, and heroes! Starting Spring 2023 with NY's Best Professional Networking Affair. Please join us for an evening of creativity, inspiration and passionate conversations.Join & raise a glass - make connections with co-founders, partners, coaches or core team members for your start-up- meet fellow professionals and mingle with makers of great and big ideas - take home treats from growing community and some business cards.Hosted By - New York Entrepreneurs, Startup & Business Coalition.Facebook Page -  NYESNFacebook Group- NYCESNMeetup Group - MEETUPInstagram - www.instagram.com/professionalunite/Please use @TechWebTalks to share your comments/pics for this event.Ambiance:- Name Tags will be provided to everyone who attends. We request you put your name and industry on your name tag.- Make sure you bring enough business cards.- The dress code is Business Casual. Timings:- Event is from 1:00 PM to 3:00 PM.***Arriving on time recommended.Light Snack, Soda & Water will be served. Location - Central Park ( Exact Location shall be emailed to registered members one day before the event)For Sponsorship & Business Queries - Moveyourcareer@gmail.comR﻿SVP for March 15First Name	Last NameEitan	MillerAlfred	OjukwuMichael	EvansWINFRIDA	SHONDEKassia	McKenzieShani	FaganJerry	VictorOmar	BurtThao	DoAlanna	GertonElizabeth	McCorveyMichael	ZayasMichael	ZayasEdvard	LaroseFrank	LIEbenezer	AmpiahDike	AmazuChaneil	HallAlexandra	JacksonJordan	McGrewRichard	OrtegaYulia	GordonKeitha	PansyKamara 	Swaby John	OSullivanHamza	ChishtiSuresh	GanesanIan	YuThea	CartyImani	CrawfordShalomon 	MedalRaul	NeddMolly	McNuttIshaan	DasShayla	LeeJerry	FennShereetha	AllenKiley	SurmaNicole	RalphSade	ButlerCrystal	Perezyogi	desaiMiguel	HernandezHimani	ThakkarApril	HSaurav	BDenys	KrasnikovAbhijit	KunduCynthia	AadalMahipal	KomatreddyKidus	OlanaMarie	TrandafirMilagros	BolanosSaw	FrancisAlex	MarkovJoost	PlouvierRob	CianoTetiana	VynnychenkoBryan	OspinaStefan	BeckerTimothy 	SimmonsPavandeep	PurewalSanjana	MarepallyShaquille	GrizzleBeth	GardnerJaylan L	McGovernCamila	RovalinoMirko	JokicRahul	AkarteKaneshka	GuptaJasmine	GonzalezRay	CobbJames	BarreraBrandon	LoyfmanSaikrishna	SaranganRonald	liLong	LanhAndrew	OrtizRichard	Matthews","New York Entrepreneurs, Startup & Business Coalition","https://www.eventbrite.com/o/new-york-entrepreneurs-startup-amp-business-coalition-9879419208"
"1680702164-126","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=[1]","Diverse Women: Breaking into TechDiverse Women: Breaking into Tech","https://www.eventbrite.com/e/diverse-women-breaking-into-tech-tickets-595214591867?aff=ebdssbdestsearch","Diverse Women: Breaking into Tech","Wednesday, April 26 · 4:30 - 7:30pm EDT","Alianza Dominicana Cultural Center 530 W 166th St New York, NY 10032","About this event3 hoursMobile eTicketWondering how to enter and make it in technology?There are many opportunities for working in technology and using it to foster change. You don’t have to have a STEM background or know how to code. If your core business is not in technology, you can still learn how to engage with technology-related fields and activities. If you have a tech business, learn different ways to scale.This event will help you embrace the possibilities. Meet and network face-to-face with founders of tech businesses, women in corporations and entrepreneurs. Join round-table conversations to explore multiple facets of the technology business.The webinar and networking are free.		R﻿SVP now to reserve your spot! What you will learn:By the end of this event, you will be able to:Identify opportunities for engaging in technology-related fields and activitiesUnderstand how tech companies can scaleChart paths for your business to grow with the technology sectorAGENDAPanel DiscussionsListen to two panels of women – three who work in major technology companies like Google and three founders of innovative small technology businesses such as Moodbit and others discuss opportunities to join, create, or engage with them.NetworkingThere will be opportunity after the panel discussions for networking with panel speakers and other women.One-on-One MentoringSCORE NYC mentors with expertise in marketing, business planning, finance and other areas will be there to meet you after the panel discussion. Sessions are free, one-on-one and confidential.Refreshments will be available until they run out.Donations of $10 or more to NYWIB are welcome and appreciated, but not required.CLICK here if you would like to donate to support NYWIB’s mission and programs.REGISTER NOWYou will get the link to the event in your confirmation email after you register.*Disclaimers: (1) This event is open to the public and at no-cost, doors will be closed once the venue reaches capacity, arrive early. (2) By signing up for this event you accept to be photographed and recorded, and allow women.nyc to use the materials for informational and promotional purposes.(3) By registering to this event you accept to join our email list and receive information about future events and resources. (4) Food and drinks are provided until supplies last, and you decline to make the organizers responsible for any allergies or reactions the food could cause you.About women.nycWomen.nyc - part of the New York City Economic Development Corporation - is an innovative program created to make NYC the best place in the world for women of all backgrounds, ages, abilities and identities to thrive in their careers, run businesses and launch startups.Bookmark women.nyc to stay engaged in this program. We will have a series of events centered around these high-priority sectors, allowing you to sign up for career coaching and shadowing. This is the only women-centric network established to help you take control of your future.About WE NYC WE NYC (Women Entrepreneurs NYC) is an initiative based out of the New York City Department of Small Business Services that is dedicated to helping women start and grow their businesses. Free services are available for women entrepreneurs across the five boroughs and in multiple languages. This event is co-managed by the WE Connect portfolio of WE NYC, run by 3x3, an inclusive innovation agency based in Brooklyn. WE Connect offers guidance to women entrepreneurs seeking to launch new ideas and increase business by connecting them with the right resources.About NYWIBAbout Catholic Charities","women.nyc","https://www.eventbrite.com/o/womennyc-42945034563"
