Event URL,Emoji,Event Name,Start,End,Location,Description,City,Organizer,Last Modified,Approved (Newsletter),Start Date (Parsed),Start Time (Parsed),End Date (Parsed),End Time (Parsed),Cleaned Event URL for Newsletter,Datetime for Newsletter,Short Datetime,FOR NEWSLETTER Short Headline,FOR NEWSLETTER Long Description
https://www.eventbrite.co.uk/e/the-art-business-conference-new-york-2023-tickets-541994128027?aff=ebdssbdestsearch,,The Art Business Conference New York 2023,"April 26, 2023, 8:30 AM","April 27, 2023, 1:30 PM",300 Madison Ave Avenue New York NY 10017,"The Art Business Conference is a conference for art world professionals in New York. If you are involved in buying, selling or caring for art, whether as a gallery owner, operations director, art advisor, studio manager, foundation, private collector, auctioneer or museum professional, this conference covers the key aspects of running an art business or collection. The conference will also present three industry leading reports together with panel discussions and educational workshops, where industry experts will share specialist advice and insight on the art world - from best practice to the latest updates in legislation and technology. In the Business Pavilion, you can meet speakers and our exhibitors to expand your art business network. For 2023, an additional half day of talks will be introduced on April 27th that will focus on sustainability with workshops and training. The agenda includes discussions on sustainability, art lending, cyber security, and employment in the art world, as well as an art and technology panel. The ticket price includes entry to all sessions, breakfast networking, refreshments, lunch, post-conference networking drinks, and the Day 2 talks. A partner of Turon Travel for accommodation is also available.",,https://www.eventbrite.co.uk/o/art-market-minds-6241950927,,,,,,,,,,,
https://www.eventbrite.com/e/april-lady-tech-guild-meeting-tickets-576502322967?aff=ebdssbdestsearch,,April Lady Tech Guild Meeting,"April 5, 2023, 7:00 PM","April 5, 2023, 10:00 PM",ONX Studio 645 5th Avenue Lower Level NY 10022,"Join us for the April Lady Tech Guild Meeting, featuring a motion capture tech demo by LaJuné McMillian at ONX Studio. No prior experience necessary! The event is open to women in tech and includes networking, drinks, and snacks. LaJuné is a Multidisciplinary Artist and Educator interested in performance, extended reality, and physical computing. They believe in breaking systems and technologies that perpetuate systemic injustices to create space for different ways of being. LaJuné has presented their work in several venues. ONX Studio, located in the Onassis Gallery in Midtown Manhattan, is a hybrid production and exhibition space that supports interactive and immersive extended reality works. Founded by the Onassis Foundation and New Museum’s NEW INC, ONX is pleased to sponsor women in tech.",,https://www.eventbrite.com/o/lady-tech-guild-62084449153,,,,,,,,,,,
https://www.eventbrite.com/e/starta-spring-2023-pitch-contests-tickets-577543607477?aff=ebdssbdestsearch,,Starta Spring 2023 Pitch Contests,None,None,220 E 23rd St East Street Suite 400 New York NY 10010,"Join Starta Accelerator's Spring 2023 Pitch Contests in NYC! This event features founders pitching their startups to a panel of VCs, angels, and industry experts, followed by a Q&A and networking session with frontrunners, entrepreneurs, and investors within the NYC startup scene. Refreshments served. Starta is a venture ecosystem supporting early-stage talent in tech seeking professional training, raising capital, and scaling globally. For promo codes, email fc@starta.vc. Check out the cohort startups here: https://starta.vc/spring2023.",,https://www.eventbrite.com/o/starta-17792910582,,,,,,,,,,,
https://www.eventbrite.com/e/techspo-new-york-2023-technology-expo-internet-adtech-martech-tickets-442445776227?aff=ebdssbdestsearch,,TECHSPO New York 2023 Technology Expo (Internet ~ AdTech ~ MarTech),"April 27, 2023, 9:00 AM","April 28, 2023, 4:00 PM",New York Marriott at the Brooklyn Bridge Hotel 333 Adams St NY 11201,"TECHSPO New York 2023 is an opportunity for businesses, technology providers, marketers, innovators, and evangelists to come together and showcase the latest advances in technology and innovation. The expo, returning on April 27th and 28th, 2023 to the New York Marriott at the Brooklyn Bridge Hotel, offers a chance to interact with technology enthusiasts, build networks, and reunite with peers. The exhibition hall will showcase the next generation of technology and innovation, including Internet, Mobile, AdTech, MarTech, and SaaS technologies. Attendees will have the opportunity to view presentations that feature Keynotes, Industry Panels, and Master Classes given by Expert Speakers in the digital marketing field. Additionally, there are various event zones, including Auditorium, Exhibition Hall, Training Theater, Podcast Studio, Dining Hall, and Photo Booth, where visitors can interact and enjoy the event. Different passes are offered, including Visitor Pass, Training Pass, and All Access Pass, each with different perks and benefits. Finally, visitors are encouraged to register early, as TECHSPO New York 2023 will sell out quickly. For more details, visit https://techsponyc.com or contact the Customer Service team via info@techspo.co or phone +1 (800) 805-5385 (Toll Free).",,https://www.eventbrite.com/o/techspo-technology-expo-global-series-55210999463,,,,,,,,,,,
https://www.eventbrite.com/e/infrastructure-for-climate-resilience-tickets-601699688967?aff=ebdssbdestsearch,,Infrastructure for Climate Resilience,"April 18, 2023, 5:45 PM","April 18, 2023, 7:00 PM",Fayerweather Hall Room 513 1180 Amsterdam Avenue New York NY 10027,"George Deodatis and Thaddeus Pawlowski will discuss the threat posed by sea level rise and storm-induced flooding to infrastructure, as well as optimal adaptation and mitigation strategies within a budget. Thaddeus will focus on climate adaptation in New York City post-Hurricane Sandy, exploring the need to redesign urban systems that perpetuate social vulnerability. The event is free and open to the public, with registration required. In-person attendees must follow COVID-19 policies and provide proof of vaccination, while online attendees will receive a Zoom link. The event is part of the Climate and Society series, hosted by various organizations including the Center for Science and Society and the Earth Institute. Disability accommodations are available upon request.",,https://www.eventbrite.com/o/the-center-for-science-and-society-8449633279,,,,,,,,,,,
https://www.eventbrite.com/e/revtech-labs-holt-xchange-and-icba-present-nyc-fintech-week-top-20-tickets-514458989687?aff=ebdssbdestsearch,,"RevTech Labs, Holt Xchange, and ICBA Present: NYC Fintech Week Top 20","April 27, 2023, 9:00 AM","April 27, 2023, 12:00 PM",Rise New York 43 West 23rd Street NY 10010,"RevTech Labs, Holt Xchange, and ICBA are traveling to New York City to showcase their fintech and insurtech startups on April 27, 2023. The event will feature a pitch competition by the top 20 startups and will be held at Rise NY. Attendees will have the opportunity to network after the event. RevTech Labs is an entrepreneurial hub that operates a 12-week hybrid accelerator program for fintech, insurtech, and healthtech companies. The Holt Xchange is a seed fintech investor based in Canada, while ICBA supports fair competition for financial institutions. Rise is a global community of innovators that operates fintech hubs around the world. Note that the final lineup of startups will be announced later.",,https://www.eventbrite.com/o/revtech-labs-13076946308,,,,,,,,,,,
https://www.eventbrite.com/e/the-nest-climate-campus-official-event-partner-of-climate-week-nyc-2023-tickets-483373441977?aff=ebdssbdestsearch,,"The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023","September 19, 2023, 8:30 AM","September 21, 2023, 5:30 PM",Javits Center 445 11th Avenue New York NY 10001,"The Nest Climate Campus is a collection of sustainable brands, businesses, individuals, and organizations that aim to accelerate climate solutions through collaboration. Co-hosted events and community engagement activities are held under one green roof at the Javits Center during Climate Week NYC. Attendees can access the Main Stage Summit, which brings together thought-leaders for two days of education, inspiration, and collaboration. Community engagement activities include activations, networking spaces, climate arts, green roof tours, and a plant-based Garden Eatery. Special appearances from influential thought-leaders in New York government and NGOs are also featured. A health and safety policy, as well as photo and video policy and privacy policy, apply to those who register for the event.",,https://www.eventbrite.com/o/nxt-events-media-group-33584111599,,,,,,,,,,,
https://www.eventbrite.com/e/out-in-tech-were-tech-nically-dating-with-peoplehood-tickets-600582096217?aff=ebdssbdestsearch,,Out in Tech | We're Tech-nically Dating with Peoplehood,None,None,Peoplehood 109 W 17th St New York NY 10011,"This event discusses how dating apps have changed the way LGBTQ+ individuals find partners and connect with each other, with almost two-thirds of gay and lesbian couples in the US meeting online. The conversation will focus on creating inclusive spaces for all queer and trans individuals to find love, new technologies for safety, and the factors of privacy and inclusion. Representatives from leading dating companies that are open to the LGBTQ+ community will discuss employees' perspectives on reaching and supporting different segments of the community. The Peoplehood event will have wine and beer available for sale. Priority registration is given to women, trans, gender-expansive, and POC members to ensure diversity. Peoplehood is a guided group conversation practice that helps individuals connect and feel more connected with others. The panelists include Robyn Exton from HER, Marcus Lofthouse from OKCupid, Kel Rakowski from Lex, Adam Cohen-Aslatei from Tawkify, and Michael Kaye from OkCupid. The moderator is Andy Kraut from Grindr. This event is conducted indoors, and attendees are expected to be vaccinated and have tested negative for COVID-19.",,https://www.eventbrite.com/o/out-in-tech-4536487671,,,,,,,,,,,
https://www.eventbrite.com/e/ny-tech-professional-outdoor-networking-event-tickets-556122907587?aff=ebdssbdestsearch,,NY TECH & PROFESSIONAL OUTDOOR NETWORKING EVENT.,"April 8, 2023, 1:00 PM","April 8, 2023, 3:00 PM",Central Park New York NY 11211,"This is an outdoor professional networking event where entrepreneurs, techies, founders, and professionals can connect and form partnerships. It is hosted by New York Entrepreneurs, Startup & Business Coalition and the ambiance is business casual. Everyone who attends will be provided with name tags, and light snacks, soda, and water will be served. The event will take place from 1:00 PM to 3:00 PM in Central Park and the exact location will be emailed to registered members one day before the event. Those interested in sponsorship or business queries can contact Moveyourcareer@gmail.com. There is a list of RSVPs in the description as well as social media links for the event.",,https://www.eventbrite.com/o/new-york-entrepreneurs-startup-amp-business-coalition-9879419208,,,,,,,,,,,
https://www.eventbrite.com/e/diverse-women-breaking-into-tech-tickets-595214591867?aff=ebdssbdestsearch,,Diverse Women: Breaking into Tech,"April 26, 2023, 4:30 PM","April 26, 2023, 7:30 PM",Alianza Dominicana Cultural Center 530 W 166th St New York NY 10032,"This event is for individuals interested in working in technology, regardless of their background or knowledge in coding. The event will feature panel discussions with women from major technology companies such as Google and founders of innovative small technology businesses. Attendees will have the opportunity to network with panel speakers and receive one-on-one mentoring from experts in areas such as marketing and finance. Refreshments will be provided, and donations to support the event are welcome. Women.nyc, part of the New York City Economic Development Corporation, sponsors the program to help women thrive in their careers, run businesses, and launch startups. WE NYC is an initiative to help women start and grow businesses. The event is co-managed by WE Connect, an inclusive innovation agency based in Brooklyn, and NYWIB.",,https://www.eventbrite.com/o/womennyc-42945034563,,,,,,,,,,,
