web-scraper-order,web-scraper-start-url,Event,Event-href,Title,Date and Time,Location,Description,Organizer_link,Organizer_link-href
"1679286196-679","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","CONDENSATIONS  Part1- Designing water and policy.CONDENSATIONS  Part1- Designing water and policy.","https://www.eventbrite.com/e/condensations-part1-designing-water-and-policy-tickets-557845369517?aff=ebdssbdestsearch","CONDENSATIONS  Part1- Designing water and policy.","Wednesday, March 22 · 11am - 12:15pm EDT","Consulate General of the Netherlands 666 3rd Avenue New York, NY 10017","About this event1 hour 15 minutesMobile eTicketBringing together government leaders of multiple countries/cities who are host to urban and rural archipelagos and whose dense urban areas are on islands or coasts subjecting their populations to immediate climate-based threats, as well as representatives from international institutions, this panel will allow each participant to share commitments to prioritize design in adaptive, nature-based projects/solutions for water safety, access, quality and delivery, using the result of Rebuild by Design and Water as Leverage as examples.Provisional Participants: Ahmed Aboutaleb Mayor Rotterdam, Danielle Levine Cava Mayor of Miami-Dade County, Grace Fu Singaporean Minister for Sustainability and the Environment and Rodrigo Sanhueza Bravo the Chilean National Director of Water and leadership from NYC Mayor Eric Adam’s Office. Moderated by Frances Bronet, President Pratt Institute.Outcomes: Commitments from elected officials to include and bolster design thinking early in the decision making, funding and planning processes for future climate adaptation projects.Rundown:○ 10:30 am Arrival/Check-In○ 11:00-11:05 Opening Remarks (Dutch Consulate)○ 11:05-11:15 Moderator Intro○ 11:15-11:20 Panelist 1○ 11:20-11:25 Panelist 2○ 11:25-11:30 Panelist 3○ 11:30-11:35 Panelist 4○ 11:35-11:40 Panelist 5○ 11:40-12:00 Moderated Discussion○ 12:00-12:15 QAR﻿ESERVATIONS FOR THIS EVENT WILL OPEN MID MARCH","Pratt School of Architecture","https://www.eventbrite.com/o/pratt-school-of-architecture-29713290201"
"1679286200-680","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Climate Fresk and Dinner at Eat Offbeat (Chelsea Market) - April EditionClimate Fresk and Dinner at Eat Offbeat (Chelsea Market) - April Edition","https://www.eventbrite.com/e/climate-fresk-and-dinner-at-eat-offbeat-chelsea-market-april-edition-tickets-586088806397?aff=ebdssbdestsearch","Climate Fresk and Dinner at Eat Offbeat (Chelsea Market) - April Edition","Tuesday, April 4 · 5:30 - 9pm EDT","Chelsea Market 75 9th Avenue New York, NY 10011","About this event3 hours 30 minutesMobile eTicketWant to help tackle climate change but don’t have the time to become a climate scientist?In just 3 hours, the collaborative Climate Fresk workshop will teach you the fundamental science behind climate change and empower you to take action.The workshop will take place at Eat Offbeat and will include a full dinner featuring the best home cooking from around the world made with love by refugee chefs in NYC.","Climate Fresk Org. hosted by Eat Offbeat","https://www.eventbrite.com/o/climate-fresk-org-hosted-by-eat-offbeat-53609557293"
"1679286203-681","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Energy Efficiency: Unlocking Climate Action in SchoolsEnergy Efficiency: Unlocking Climate Action in Schools","https://www.eventbrite.com/e/energy-efficiency-unlocking-climate-action-in-schools-registration-590132501197?aff=ebdssbdestsearch","Energy Efficiency: Unlocking Climate Action in Schools","Wednesday, April 19 · 9am - 3pm EDT","NYCDOE Division of School Facilities 44-36 Vernon Blvd 5th Floor Training Room Long Island City, NY 11101","About this event6 hoursMobile eTicketDid you know that buildings are the largest source of greenhouse gas emissions in NYC? Reducing our energy use = climate action! But “energy efficiency” can feel abstract.Join the DOE Office of Sustainability and Solar One for a day of standards-aligned, hands-on activities. Explore ways to take climate action by reducing carbon emissions in schools and at home. You'll leave with a toolkit to bring energy efficiency to life in your classroom. Teachers will receive up to 5 hours of CTLE credit for attending. Details:Date: April 19, 2023Time: 9:00- 3:00pm Location: DOE Division of School Facilities, 44-36 Vernon Blvd, Queens, NY 11101Audience: DOE teachers, all subjects, grades 3-12 Lunch is provided! Frequently asked questionsCan I earn CTLE credits?Can I earn A+ or P credit?Do you have parking?Is your building accessible?","NYC DOE Office of Sustainability","https://www.eventbrite.com/o/nyc-doe-office-of-sustainability-22898367351"
"1679286206-682","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","2023 Queens Tech + Innovation Challenge Finalists Announcement2023 Queens Tech + Innovation Challenge Finalists Announcement","https://www.eventbrite.com/e/2023-queens-tech-innovation-challenge-finalists-announcement-tickets-576192185337?aff=ebdssbdestsearch","2023 Queens Tech + Innovation Challenge Finalists Announcement","Wednesday, March 29 · 6 - 8pm EDT","Museum of the Moving Image 36-01 35th Avenue Queens, NY 11106","About this event2 hoursMobile eTicketAfter three years of virtual announcements on Zoom, w﻿e're excited to finally host an in-person gathering to announce the finalists for the 2023 Queens Tech + Innovation Challenge. All participants are invited! It will be a special evening celebrating the local entrepreneurs, creators and innovators in Queens. Drinks and light appetizers will be provided. 6﻿pm - 7pm: Networking7﻿pm - 8pm: Keynote speaker + Finalists AnnouncementW﻿e look forward to seeing you all then.T﻿hanks to our partner and sponsors below. We couldn't have done this without your generous support!","Queens Economic Development Corporation","https://www.eventbrite.com/o/queens-economic-development-corporation-7964402273"
"1679286209-683","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","The Vanishing,  Invisible Forest:  Telling Climate StoriesThe Vanishing,  Invisible Forest:  Telling Climate Stories","https://www.eventbrite.com/e/the-vanishing-invisible-forest-telling-climate-stories-tickets-579518614777?aff=ebdssbdestsearch","The Vanishing,  Invisible Forest:  Telling Climate Stories","Tuesday, April 18 · 6 - 8pm EDT","Roosevelt House 47-49 East 65th Street New York, NY 10065","About this event2 hoursMobile eTicketJoin the Pulitzer Center and Hunter College for a conversation with multimedia production team Dominic Smith and Andrew Robinson on Tuesday, April 18, 2023, on the making of their Pulitzer Center-supported project The Vanishing, Invisible Forest. The journalists will visit classrooms during the day, followed by a presentation and reception at New York City's Roosevelt House.Reporting for Scientific American and the Monterey Herald, Robinson and Smith dove into the turbulent waters of Monterey to document kelp growth and aquatic life as part of ongoing research about the possible solutions and inherent dangers when humans try to undo the damage caused by climate change. Using underwater videography, they captured the remaining forests, the urchin barrens, and the difficult nature of underwater research.","Pulitzer Center","https://www.eventbrite.com/o/pulitzer-center-11957633584"
"1679286212-684","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","BRITE '23 ConferenceBRITE '23 Conference","https://www.eventbrite.com/e/brite-23-conference-tickets-542305469257?aff=ebdssbdestsearch","BRITE '23 Conference","Monday, April 10 · 9:30am - 6:30pm EDT","Columbia Business School - Cooperman Commons Geffen Hall 645 West 130th Street New York, NY 10027","About this event9 hoursMobile eTicketBRITE '23 Conference | April 10, 2023 | 9:30 AM - 6:30 PM ETCooperman Commons, Geffen Hall, Columbia Business School (645 West 130th Street, New York, NY 10027)DETAILS AND AGENDA AT: https://briteconference.comBRITE '23 will bring together bold thinkers and leaders from business, technology, media, and marketing to present future-forward innovations, marketplace strategies, and thought-provoking questions... and answers.Since 2008, the BRITE conference has brought leaders in branding, innovation, and technology to Columbia Business School for curated talks on how technology and innovation are transforming the ways that companies build and sustain great brands.BRITE offers a different blend of thinkers and doers than you will find at any other event. Participants come to think differently about the changing landscape of media and technology, and to connect with a unique group of innovators, marketers, entrepreneurs, and champions of social enterprise.The aim of BRITE is to stimulate interactive conversations; it is not just a series of lectures. Come to the event to talk with fellow big thinkers in marketing and technology, hear stories of what is working and what isn't, and build your personal brand and leadership skills. BRITE '23 speakers include:Sally Susman - EVP, Chief Corporate Affairs, Pfizer; author, Breaking Through: Communicating to Open Minds, Move Hearts, and Change the WorldKhalid El Khatib - Chief Marketing Officer, Stack OverflowEmily Essner '09 - Chief Marketing Officer, Saks Fifth AvenueBruce Usher - Professor of Practice, Columbia Business School; author, Investing in the Era of Climate ChangeBrian Collins - Co-Founder and Chief Creative Officer, COLLINSDavid Rogers - Faculty, Columbia Business School; author, The Digital Transformation RoadmapCBS Students: This event is a Phillips Pathway for Inclusive Leadership approved event addressing the following essential inclusive leadership skills: understanding identity and perspective taking and addressing systemic inequity. See the agenda and full list of speakers at https://briteconference.com.","Columbia's Center on Global Brand Leadership","https://www.eventbrite.com/o/columbias-center-on-global-brand-leadership-370892198"
"1679286215-685","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Stacy Spikes: Black FounderStacy Spikes: Black Founder","https://www.eventbrite.com/e/stacy-spikes-black-founder-tickets-549718190907?aff=ebdssbdestsearch","Stacy Spikes: Black Founder","Starts on Monday, March 20 · 7pm EDT","Strand Book Store 828 Broadway 3rd Floor, Rare Book Room New York, NY 10003","About this event1 hourMobile eTicketJoin us for an in-person event with award-winning entrepreneur, inventor  Stacy Spikes, co-founder and CEO of MoviePass, for a discussion of his debut memoir Black Founder: The Hidden Power of Being an Outsider. This event will be hosted in the Strand Book Store's 3rd floor Rare Book Room at 828 Broadway on 12th Street. Can’t make the event? Purchase a signed copy of Black Founder here.  STRAND IN-PERSON EVENT COVID-19 POLICY: Masks and vaccination checks are not required for entry.Attendees are welcome to wear a mask if they choose. If you do not have a mask and would like one, The Strand will provide masks at the door.Please note this is subject to change any time before or during the event per the author’s request. --------------------------------------------------------------------At the intersection of power, technology, and race, Stacy Spikes, award-winning entrepreneur and founder of MoviePass, reveals the tools he’s used to persevere in the face of adversity, defy stereotypes, and shatter glass ceilings. Black Founder is both an empowering memoir of a trailblazing business leader and an unflinching look at what it means to be Black and ambitious in the upper echelons of record labels, movie studios and tech startups – with practical steps on how to overcome prejudice and build your own success.Stacy Spikes is an award-winning entrepreneur and inventor who USA Today named one of the 21 most influential Blacks in technology. He holds several technology patents and is the co-founder and CEO of the nation’s first theatrical subscription service, MoviePass. In addition, Spikes is the founder of Urbanworld, the largest international festival dedicated to nurturing Women and BIPOC filmmakers.  stacyspikes.comPhoto credit: George Kerrigan","The Strand Book Store","https://www.eventbrite.com/o/the-strand-book-store-30058841244"
"1679286218-686","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Optimizing for What? Algorithmic Amplification and SocietyOptimizing for What? Algorithmic Amplification and Society","https://www.eventbrite.com/e/optimizing-for-what-algorithmic-amplification-and-society-tickets-558764247907?aff=ebdssbdestsearch","Optimizing for What? Algorithmic Amplification and Society","April 28 · 9:30am - April 29 · 12:30pm EDT","Columbia University 2920 Broadway New York, NY 10027","About this event1 day 3 hoursMobile eTicketOn April 28-29, 2023, the Knight Institute will host a symposium to explore how online amplification works and to consider interventions that would mitigate some of the harms caused by amplification, or allow us to take fuller advantage of the benefits. The symposium, “Optimizing for What? Algorithmic Amplification and Society,” is a collaboration between the Knight Institute and  Arvind Narayanan. It will take place in-person at Columbia University and online.RSVP for event updates.  Featured papers: A Field Experiment on the Impact of Algorithmic Curation on Content Consumption BehaviorFabian Baumann, Postdoctoral Fellow, Max Planck Institute for Human DevelopmentPhilipp Lorenz-Spreen, Research Scientist, Max Planck Institute for Human DevelopmentWhat's in an Algorithm? Empowering users through nutrition labels for recommender systemsLuca Belli, Independent ResearcherMarlena Wisniak, Senior Legal Consultant, European Center for Not-for-Profit LawEcho Chambers, Rabbit Holes, and Algorithmic Bias: How YouTube recommends content to real usersMegan Brown, Senior Research Engineer, NYU Center for Social Media and PoliticsJames Bisbee, Assistant Professor, Vanderbilt UniversityAngela Lai, Ph.D. Candidate, New York UniversityRichard Bonneau, Faculty Research Associate, NYU Center for Social Media and PoliticsJonathan Nagler, Professor of Politics and Co-Director, NYU Center for Social Media and PoliticsJoshua A. Tucker, Professor of Politics and Co-Director, NYU Center for Social Media and PoliticsAlgorithmic Amplification for Collective IntelligenceJason Burton, Assistant Professor, Copenhagen Business School; Alexander von Humboldt Research Fellow, Max Planck Institute for Human DevelopmentA Public Service Media Perspective on the Algorithmic Amplification of Cultural ContentFernando Diaz, Research Scientist, GoogleGeorgina Born, Professor, University College LondonTeachable Agents for End-User Empowerment in Personalized Feed CurationKevin Feng, Ph.D. Student, University of WashingtonDavid McDonald, Professor, University of WashingtonAmy X. Zhang, Assistant Professor, University of WashingtonHow Friction-in-Design Moderates, Amplifies, and Dictates Speech and ConductBrett Frischmann, Professor, Villanova LawPaul Ohm, Professor, Georgetown University Law CenterThe Algorithmic Management of Polarization and Violence on Social MediaRavi Iyer, Managing Director, Psychology of Technology InstituteJonathan Stray, Senior Scientist, Center for Human-Compatible Artificial IntelligenceHelena Puig Larrauri, Strategy Lead & Co-Founder, Build UpIt’s the Algorithm: A large-scale comparative field study of news quality interventionsBenjamin Kaiser, Ph.D. Candidate, Center for Information Technology Policy, Princeton UniversityJonathan Mayer, Assistant Professor, Princeton UniversityWhat Makes Algorithmic Amplification Wrongful?Benjamin Laufer, Ph.D. Candidate, Cornell TechHelen Nissenbaum, Professor, Cornell TechCommunicative Justice and the Distribution of AttentionSeth Lazar, Professor, Australian National UniversityThe Myth of “The Algorithm”: A system-level view of algorithmic amplificationKristian Lum, Associate Research Professor, University of ChicagoTomo Lazovich, Senior Research Scientist, Institute for Experiential AI at Northeastern UniversityEmotional and Political Effects of Twitter’s Ranking AlgorithmSmitha Milli, Postdoctoral Associate, Cornell TechMicah Carroll, Ph.D. Candidate, University of California, BerkeleySashrika Pandey, Undergraduate Researcher, University of California, BerkeleyYike Wang, Undergraduate Researcher, University of California, BerkeleyAnca Dragan, Associate Professor, University of California, BerkeleyBridging Systems: Open problems for countering destructive divisiveness in ranking, recommenders, and governanceAviv Ovadya, Affiliate, Berkman Klein Center, Harvard UniversityLuke Thorburn, Ph.D. Candidate, King’s College LondonRecommenders with Values: Developing recommendation engines in a public service organizationAlessandro Piscopo, Lead Data Scientist, BBC Product GroupLianne Kerlin, Research Lead, BBC R&DNorth Kuras, Senior UX Architect, BBC Product GroupJames Fletcher, Responsible Data & AI Lead, BBC Product GroupCalum Wiggins, Executive Product Manager, BBC Product GroupAnna McGovern, Lead Automated Curation Specialist, BBC Product GroupMegan Stamper, Head of Data Science, BBC Product GroupCycles of Symbol Production on Online PlatformsInioluwa Deborah Raji, Ph.D. Candidate, University of California, BerkeleyFernando Diaz, Research Scientist, GoogleIrene Lo, Assistant Professor, Stanford University","Knight First Amendment Institute at Columbia University","https://www.eventbrite.com/o/knight-first-amendment-institute-at-columbia-university-13213211534"
"1679286221-687","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","HERStory: The Evolution of Women In TechnologyHERStory: The Evolution of Women In Technology","https://www.eventbrite.com/e/herstory-the-evolution-of-women-in-technology-tickets-548127944437?aff=ebdssbdestsearch","HERStory: The Evolution of Women In Technology","Wednesday, March 29 · 6 - 8pm EDT","NBCU Offices 1221 6th Avenue New York, NY 10020","About this event2 hoursMobile eTicket The WICT Network: New York Presents:HERSTORY: The Evolution of Women In Tech.Meet women in technology at the top of their game in various domains. In honor of international women's month, join The WICT Network: New York chapter as we celebrate HERSTORY. An open conversation with women who have elevated and evolved male dominated industries and made their mark on technology. This event celebrates the contributions that women have made on technology, while focusing on how we can improve the opportunities for women to contribute to the next era of innovation. We encourage you to be part of this uplifting, motivational, and educational discussion. The panelists represent the narrative of “Where We’ve Been” and “Where We’re Going”THIS EVENT WILL BE A HYBRID EVENT. LIVE STREAM AND IN-PERSON TICKETS ARE AVAILABLE Speakers: Rachel Owens| SVP of Product & Technology  at Altice| Cynopsis 2022 Top Women in Media Tech  Jameelah Calhoun | Global Head of Product Marketing at EventbriteMary Bravo | Enterprise Account Executive | Ad Tech & Agencies at GoogleCarol Dann | Vice President Information Technology at National Hockey League (NHL)   Lindsay Aronson | Director of Product Management | Disney Streaming Vanessa Cavorti | Senior Vice President Platform Solutions | NBC UniversalModerator: Dominique Batiste | VP & Programming Co Chair The WICT Network: NY | Global Head Market Research Eventbrite  1﻿ hour panel discussion followed by a 1 hour network reception PLEASE NOTE: THERE WILL BE NO PRESS INTERVIEW REQUEST ALLOWED AT THIS EVENT","WICT NY","https://www.eventbrite.com/o/wict-ny-3245824834"
"1679286224-688","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Tech Job Fair Online: Connect with 20+ Candidates in 1 hourTech Job Fair Online: Connect with 20+ Candidates in 1 hour","https://www.eventbrite.ca/e/tech-job-fair-online-connect-with-20-candidates-in-1-hour-tickets-570261356067?aff=ebdssbdestsearch","Tech Job Fair Online: Connect with 20+ Candidates in 1 hour","Tue, Mar 28, 2023 12:00 PM - 1:00 PM EDT","New York Online online New York, NY","About this event1 hourMobile eTicketL﻿ooking to grow your team with top talent? Join our tech and startup job fair coming up. This online event is deal for hiring marketers, developers, UX, sales, data, operation, product and more.It’s online via LIVE CHAT (No video). No hassle of logistics and zoom fatigue! It’s super fast and efficient. You will have your own chat room along with company website and job postings.Get connect with an engaged community. Will be putting on the spotlight on your company brand with a global tech community of 6K+ members.Become a member company with us to have access to all monthly startup online job fairs: https://www.foundersbeta.com/job-fair-companies/Please note this event is for startups, tech companies and other companies that are hiring full-time, contract or part-time opportunities.","FoundersBeta","https://www.eventbrite.ca/o/foundersbeta-16646260829"
