web-scraper-order,web-scraper-start-url,Event,Event-href,Title,Date and Time,Location,Description,Organizer_link,Organizer_link-href
"1680068803-1","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Europe Future Summit 2023Europe Future Summit 2023","https://www.eventbrite.com/e/europe-future-summit-2023-tickets-529497761057?aff=ebdssbdestsearch","Europe Future Summit 2023","Tuesday, July 25 · 10am - 12pm EDT","VIRTUAL VIRTUAL New York, NY 10013","About this event2 hoursMobile eTicketThe Global Startup Ecosystem (GSE) is pleased to announce the 3rd edition of Europe Future Summit- to take place virtually. The Europe Future Summit is an annual event that celebrates, connects, and empowers the European stakeholder  community through networking, dialogue, culture, and much more. In a time when the region is facing newfound challenges, now is the time to start the dialogue on the true future of Europe. The program structure is action packed with debate round tables, workshops, interactive demos, partner matching, networking sessions  and expert panels. During the course of activities, speakers frontier tech investments, startup development and ecosystem building. The program concludes with a high profile call to action virtual session with summit speakers, sponsors and partners. As a high level premier summit, we curate an active network of investors, tech entrepreneurs, celebrities, politicians and business moguls tackling questions such as: How prepared are governments for the digital era? What reskilling and upskilling programs are in place and where? How can collaborations and partnerships between the public and private sector can bolster economic growth, reduce emigration and improve life quality. What the pandemic means for emerging local business ecosystems?As  an affiliate to the Global Startup Ecosystem; Europe Future Summit boast a speaker network that includes: Jack Dorsey (Founder of Twitter), Ben Horowitz (Investor Twitter, Facebook), Tim Draper (Investor in Skype, Hotmail etc); Naveen Jain (Founder of Moon Express, Viome etc.); Current President of Haiti Jovenel Moise; Vicky Jeudy from Netflix Orange is the New Black;  and VP+CEOs from Google, Facebook, Airbnb, Uber and more. About Europe Future Summit: Europe Future Summit is the world’s most iconic summit curating an active network of investors, tech entrepreneurs, celebrities, politicians and business moguls. Each year the program gathers 1000 pioneers from across Europe and around the world to address and tackle challenges that affect the region’s future. The summit serves as a platform for influencers who are sourcing innovative solutions and partners that leverage exponential technology to accelerate Europe as a center for business innovation and impact. Europe Future Summit Media Team(E) events@globalstartupecosystem.com","Global Startup Ecosystem","https://www.eventbrite.com/o/global-startup-ecosystem-26000946435"
"1680068806-2","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Women Designing the Future: Artificial Intelligence / Real Human LivesWomen Designing the Future: Artificial Intelligence / Real Human Lives","https://www.eventbrite.com/e/women-designing-the-future-artificial-intelligence-real-human-lives-tickets-560039793097?aff=ebdssbdestsearch","Women Designing the Future: Artificial Intelligence / Real Human Lives","Friday, March 31 · 8:30am - 3pm EDT","New Jersey Institute of Technology (NJIT)--The Campus Center 323 ML King Boulevard Newark, NJ 07102","About this event6 hours 30 minutesMobile eTicketThe 2023 WDF Conference is co-sponsored by the Albert Dorman Honors College, the College of Science and Liberal Arts, the Technology & Society Forum, the Office of the Dean of Students, the Office of Student Life (Diversity & Inclusion), and IEEE Women in Engineering (Princeton chapter).Frequently asked questionsWhere can I park?Does the conference include food?Where can I find out more information about the conference?","Murray Center for Women in Technology","https://www.eventbrite.com/o/murray-center-for-women-in-technology-18898837255"
"1680068809-3","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Crowd Stage - Where startups & Investors meet, A business networking eventCrowd Stage - Where startups & Investors meet, A business networking event","https://www.eventbrite.com/e/crowd-stage-where-startups-investors-meet-a-business-networking-event-tickets-586248784897?aff=ebdssbdestsearch","Crowd Stage - Where startups & Investors meet, A business networking event","Wednesday, March 29 · 6 - 9pm EDT","Starta Ventures 220 East 23rd Street 4th floor New York, NY 10010","About this event3 hoursMobile eTicketAbout the EventLets All Build  will be hosting Our investor pitch event series, Crowd stage is a startup pitch event located in New York City, where Seed and Pre-seed companies pitch there startup companies to Venture capital investors and Industry experts for Instant feedback.( Food and Drinks included ) The startups _﻿______________________________________﻿____________________Diminished RealityDiminished Reality is building a product that will take your home to the metaverse and back. Diminished Reality creates realistic digital replicas of interior spaces that you can re-design like digital legosBox heroA First mile carrier service that offers reverse logistics services to improve your returns. We'll pick up packages at customers' doorstep & ship them to your closest warehouse.I Solve RiskCombining Proven Mathematics and a Sprinkle of Artificial Intelligence Is How the iSolvRisk App Allows You to Take Control of Your Life!, by providing an app where you can map your decisions over time.Wolfie NightlifeWolfie is a Venue database that allows you to be part the in-crowd with a member base network that focused on unique experiences and special events Elite Sports GamingESG is a Multi online player game development company with a focus on developing sports games, with its first release for consoles being a free to play football IP that allows gamers to build custom players and teams. T﻿he VenueS﻿tarta ventures S﻿tarta is a venture ecosystem to find, foster, fund early stage talent in tech. starta provides Soft landing programs in New York designed to help international startups scale their US market presence and raise capital.L﻿earn moreStartups will have 4 minutes to pitch their startup to a panel of 3 judges The JudgesJordan Roga – VC at Open Core venturesJoshua Schoen - VC at hustle fundMatteo Costa – VC at Startup Investor Accelerator Judges will have 4 minutes to cross examine each startupAbout Lets All BuildLet's all build is an event planning PR agency with a focus on empowering Creatives, Entrepreneurs, and innovators through community development providing access to education and resources to help them scale. T﻿he host R﻿ich PierreA﻿ NYC based business consultant, startup mentor and creative technologist, who is known for his eccentric style and philosophical mindset. L﻿earn more","LETSALLBUILD","https://www.eventbrite.com/o/letsallbuild-14727452539"
"1680068812-4","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Lunch Talk: AI & Energy – How ML Can Help Create a Sustainable FutureLunch Talk: AI & Energy – How ML Can Help Create a Sustainable Future","https://www.eventbrite.com/e/lunch-talk-ai-energy-how-ml-can-help-create-a-sustainable-future-tickets-593074671307?aff=ebdssbdestsearch","Lunch Talk: AI & Energy – How ML Can Help Create a Sustainable Future","Wednesday, March 29 · 12 - 1:30pm EDT","Hasso Plattner Institute New York 10 Hudson Yards 52nd floor New York, NY 10001","About this event1 hour 30 minutesMobile eTicketProf. Ralf Herbrich will focus on the role that energy plays for AI and AI plays for energy. He believes that an energy-aware perspective is imperative for developing true artificial intelligence and that an AI-first approach is imperative for solving the challenge of transitioning to a sustainable future based on renewable energy. Up until today, the primary focus of research on AI methods has been on predictive accuracy and its dependence on the amount of training data rather than the amount of energy that is necessary. However, going forward, data is (typically) abundant for many tasks but energy is becoming a limiting and economical factor. Not being energy-efficient in AI algorithms is not sustainable in the long term, in particular as the amount and dependence on AI methods in people’s life is only going to increase while the amount of energy that is available to society remains constant.","Hasso Plattner Institute New York","https://www.eventbrite.com/o/hasso-plattner-institute-new-york-25825239033"
"1680068815-5","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Make it In Brooklyn Female Founders Pitch ContestMake it In Brooklyn Female Founders Pitch Contest","https://www.eventbrite.com/e/make-it-in-brooklyn-female-founders-pitch-contest-tickets-558857988287?aff=ebdssbdestsearch","Make it In Brooklyn Female Founders Pitch Contest","Tuesday, April 4 · 6 - 8pm EDT","NYU 370 Jay St 12th Floor 370 Jay Street Brooklyn, NY 11201","About this event2 hoursMobile eTicketAs a part of our Make it In Brooklyn Series, our Female Founders Pitch Contest will highlight female founded startups in our community that span diverse backgrounds and multiple industries. Showcasing a top selection of NYC’s female-led startups, the event celebrates women doing amazing things. While women are still a minority in the technology industry, Brooklyn is home to more female-founded startups than any other city in the US, and we are bringing the best of them together.With an emphasis on pre seed, seed stage, and round A funded companies, the winner will receive a $5,000 cash prize, a  Coworking 10-pack from Orchard Workspace by JLL, and in-kind legal services from BLIP at Brooklyn Law School to support participants in taking their companies to the next level. The five finalists will pitch to a panel of expert judges who will provide high level insight. The event will be emceed by Natasha Anderson, owner of Natasha Knows Consulting and freelance writer for BK Reader, who is an active member of the Brooklyn entrepreneurial community. The finalists are:Meili Technologies | Founder: Sam LeeRe/tell | Founder: Joy FanJoyfriends | Founder: Joy Arrington-HurdLandmark | Founder: Tess GuttièresVokashi| Founder: Vandra ThorburnThe judges panel includes: Shivika Arora, Product Manager at JP Morgan Chase and NYC Women Techmaker Ambassador for GoogleFaye Penn, Executive Vice President at NYC EDC Eastin Rossell, Venture Associate at HearstLabAdrianna Samaniego, Principal, Female Founders Fund. Erica Roseman, Founder and President, Concrete CommunicationsR﻿ead the full details about our finalists and judges here. J﻿oin us for food and drinks during the event, along with time to network with NYC startups and entrepreneurs, investors, and innovators from the Brooklyn tech ecosystem.**Pease note: at the venue guests should be ready to show proof of vaccination upon request","Downtown Brooklyn Partnership","https://www.eventbrite.com/o/downtown-brooklyn-partnership-37906379153"
"1680068818-6","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Invitation to  Community Partners to Earth Day Event April 22, 2023Invitation to  Community Partners to Earth Day Event April 22, 2023","https://www.eventbrite.com/e/invitation-to-community-partners-to-earth-day-event-april-22-2023-tickets-590124437077?aff=ebdssbdestsearch","Invitation to  Community Partners to Earth Day Event April 22, 2023","Saturday, April 22 · 9:30am - 2:30pm EDT","Far Rockaway PS/MS 42, 488 Beach 66th St Arverne, NY 11692","About this eventSenator James Sanders Jr. invites community partners to participate in an Earth Day event this April 22, 2023.  Deadline is  Sunday March 26th to be a community partner.  Please reply by sending your logo and help us promote the event. Please send any plans or ideas for Earth Day that you would like to see on 4/22. If you would like to participate as a community partner, please email Paul Alexander at alexander.nysenate@gmail.com or call (518) 455-3530 by March 26.Where - Various locations in the Rockaways When - Saturday April 22nd 9:30AM to 2:30PMWhy - To Celebrate Earth Day and Highlight Climate Change Issue Who - Senator Sanders / Assemblyman Anderson and the community What- An Earth Day event highlighting climate justice and engaging the youth on environmental issues How - By hosting a series of events highlighted below 9:30 AM – 11:30 AM -- Tuvalu Challenge – Senator Sanders gives speech on climate change in ocean at Beach 73rd Street and Shorefront Parkway Arverne, NY 1169211:00 AM– 12:30 PM – Tree Planting Ceremony throughout Rockaways  12:00 Noon – 2:30 PM – Flooding, Climate Change and Southeast Queens. PS/MS 42 located in Arverne,  488 Beach 66th St., Arverne, NY.Panel of speakers, including activists, elected officials' teachers and students , Making Everyday Earth Day in Southeast Queens.If you would like to participate as a community partner, please email Paul Alexander at alexander.nysenate@gmail.com or call (518) 455-3530 by March 26.","New York State Senator James Sanders Jr.","https://www.eventbrite.com/o/new-york-state-senator-james-sanders-jr-30133403552"
"1680068821-7","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Fellowship Open House at Blue Ridge Labs@Robin HoodFellowship Open House at Blue Ridge Labs@Robin Hood","https://www.eventbrite.com/e/fellowship-open-house-at-blue-ridge-labsrobin-hood-tickets-587984506487?aff=ebdssbdestsearch","Fellowship Open House at Blue Ridge Labs@Robin Hood","Thursday, March 30 · 5:30 - 7:30pm EDT","150 Court St 150 Court Street Brooklyn, NY 11201","About this event2 hoursMobile eTicketTechnology has the potential to help solve many problems. Today technology helps makes a lot of tasks easier, but these solutions are not for everyone and don’t generally tackle the toughest problems New Yorkers face.Our goal for the Fellowship is to create products and services that help solve real problems our communities face. Tech builders — designers, product managers and engineers — and experts participate in workshops, create teams, and work directly alongside the community to design and build new products and services.Fellows spend two months doing intensive, community-centric research to scope and define potential solutions. They then have another two months to build, test, and launch their ideas. Past Fellows have built venture-backed companies, tech-enabled nonprofits, open source projects, and more.We’re looking for potential Fellows who are ruthlessly dedicated to addressing the most pressing issues for low-income communities in NYC, both getting an idea off the ground and sustaining it long-term.Come join us to learn about the Blue Ridge Lab's (BRL) Fellowship Program. We will be going over a brief informational presentation, have BRL alumni share their experience and have Q&A and networking following the session.5PM - Arrival5:30-7:30PM - Informational PresentationRegistered attendees are free to work from Blue Ridge Labs for the day before the session. H﻿osted by Blue Ridge Labs@Robin Hood","Blue Ridge Labs@Robin Hood","https://www.eventbrite.com/o/blue-ridge-labsrobin-hood-60365339033"
"1680068825-8","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","With and Against Technoscience in the AftermathWith and Against Technoscience in the Aftermath","https://www.eventbrite.com/e/with-and-against-technoscience-in-the-aftermath-tickets-489070642457?aff=ebdssbdestsearch","With and Against Technoscience in the Aftermath","Thursday, April 27 · 6 - 7:30pm EDT","James Room, 4th Floor Barnard Hall Barnard College 3009 Broadway New York, NY 10027","About this event1 hour 30 minutesMobile eTicketWhat relations can technoscience make with radical politics in the aftermaths of environmental violence, racial capitalism, heteronormativity, and settler colonialism? Can epistemologies and practices built out of violence ever be remade towards justice? Does technoscience have a role in remaking our worlds out of the long aftermath?  Professor M. Murphy takes up a more than pessimistic and less than optimistic posture towards developing tactics for engaging the politics of technoscience. With Indigenous feminisms and queer leanings, Murphy draws out place-based tactics from environmental justice on Anishinaabe and Haudenosaunee territories to navigate towards an Indigenous feminist anti-colonial politics with and against technoscience for the F/ISTS Keynote and Silver Science Lecture, ""With and Against Technoscience in the Aftermath.""About F/ISTSThe inaugural Feminist/Intersectional Science and Technology Studies Conference (F/ISTS) homes in on the reciprocal relations between techno-scientific knowledge and practices, on the one hand, and gender, race, class, and other intersecting axes of power, on the other. The interplay among technical and social dimensions of science, technology, and medicine is central to addressing many of the most pressing problems of our times, such as climate justice and environmental racism, health disparities, digital surveillance, and the growing mistrust in “science” as a domain of authority.About M MurphyM Murphy is a Professor of History and Women and Gender Studies at the University of Toronto, where they hold a Tier 1 Canada Research Chair in Science & Technology Studies and Environmental Data Justice at the University of Toronto. Their research is concerned with feminist, decolonial, and queer approaches to environmental justice, reproduction, Indigenous science and technology studies, transecologies, and data studies. They are Co-Director of the Technoscience Research Unit, as well as direct an Indigenous lab focused on environmental data justice. They are the author of The Economization of Life (2017), Seizing the Means of Reproduction (2012), and Sick Building Syndrome and the Politics of Uncertainty (2006), all with Duke University Press. Murphy’s current research concerns relationships between chemical pollution, colonialism, and technoscience on the lower Great Lakes, as well as the question of whether AI can be collaborated with towards Indigenous and anti-racist futures. They are Red River Métis from Winnipeg. AccessibilityASL Interpretation will be provided. For additional accessibility needs please email skreitzb@barnard.edu. This is an in-person event, free and open to all. Please review our COVID safety guidelines. Registration is preferred. This event and the F/ISTS Conference are sponsored by the Department of Women’s, Gender, and Sexuality Studies, Barnard College, and co-sponsored by BCRW. Image credit: M. Murphy, ""Alterlife in the Ongoing Aftermaths of Chemical Exposure,"" https://michellemurphy.net/technoscience-meets-biopolitics/","Barnard Center for Research on Women","https://www.eventbrite.com/o/barnard-center-for-research-on-women-1283263401"
"1680068828-9","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","Fundraising Breakfast #19Fundraising Breakfast #19","https://www.eventbrite.com/e/fundraising-breakfast-19-tickets-590188207817?aff=ebdssbdestsearch","Fundraising Breakfast #19","Tuesday, April 4 · 9:30am - 12pm EDT","Spring Place (New York) 6 Saint Johns Lane New York, NY 10013","About this event2 hours 30 minutesMobile eTicketPlease join us for our monthly Fundraising Breakfast at Spring Place New York, hosted by Ruben A. Austin, Director at Burkland & Partner at Transatlantic Venture Partners.This month's guest speakers is a leading consumer investor, Gautam Ahuja, General Partner at Blue Scorpion Investments, our second speaker will be accounced at a later date.During this multi-course breakfast we will discuss how to raise venture capital and will give you the opportunity to mingle with investors and  startup founders.During our last fundraising breakfast we had over 70 attendees, including  venture funds, service providers and startup founders.Included: Multi-course breakfast, coffee and tea. Sponsored by Burkland & Spring Place-----Agenda:09:15 AM  - Networking (Coffee & Tea Bar)10:00 AM - Panel Discussion 10:30 AM - Q & A11:00 AM - Post Panel Networking11:30 AM - Event Ends-----About Burkland: Join 500+ startups across the USA that partner with Burkland for outsourced Finance, Accounting, Tax and HR services. Burkland specializes in fractional CFO services with a focus on SAAS, FinTech and Consumer industries.About Spring Place: A workspace and private Membership club that creatively connects global professionals and entrepreneurs.","Transatlantic Venture Partners","https://www.eventbrite.com/o/transatlantic-venture-partners-35465058703"
"1680068831-10","https://www.eventbrite.com/d/ny--new-york/climate-tech/?page=5","CVC x Two Sigma Ventures Symposium: Private InvestingCVC x Two Sigma Ventures Symposium: Private Investing","https://www.eventbrite.com/e/cvc-x-two-sigma-ventures-symposium-private-investing-tickets-576135927067?aff=ebdssbdestsearch","CVC x Two Sigma Ventures Symposium: Private Investing","Thursday, March 30 · 3 - 7pm EDT","Two Sigma 100 6th Avenue, 3rd Floor New York, NY 10013","About this eventColumbia Venture Community (“CVC”) is hosting an exclusive symposium to Limited Partners (LPs) and General Partners (GPs) to discuss strategies and network.This four (4) hour symposium is the launch of a private investing special interest group for CVC. According to surveys of membership, over 13% of CVC members are private investors. A staggering 40% of CVC members are founders. Over 60% of membership are C-level leaders. The focus of this SIG is to connect allocators, managers, and founders in the Columbia Venture Community ecosystem. Our members will get an opportunity to share their knowledge and help members of the community who are investors inform the decisions they make as they map out their strategy for allocating capital. In a hypercompetitive landscape where investors seeking differentiated investment opportunities need every possible edge, CVC members are in a position to improve results by making an investment in the CVC community with their participation in SIG events. Private Investing SIG will share insights on technologies, data, and processes that generate alpha. This first event will share with attendees several viewpoints on the road ahead for this year in private investing.  Get ready to hear from best-in-class LPs and GPs and with the opportunities to network post the event.L﻿imited free registation available for active allocators and founders of startups with traction. Please contact sponsor at info@apertucapital.comA﻿bout Sponsor Apertu Capital: An early stage venture capital fund that invests in deep tech software startups, from pre-seed to Series A stages of fundraising. Apertu Capital focuses on software companies creating new products essential for artificial intelligence, cloud, and developer tools. Apertu Capital is interested in speaking with founders whose makeup includes some of the following characteristics: 1) have pioneered and now lead thriving open source communities; 2) have experience working on highly technical problems; 3) and propose to bring to market deeptech solutions. A﻿bot Sponsor Reitler Kailas & Rosenblatt: Reitler is a leading Venture Capital law firm with offices in New York, Los Angeles and Princeton, representing both emerging companies and venture investors across the US and internationally. Pitchbook ranks Reitler in the “Top 10” in Venture Capital transactions, both nationally and globally. Reitler’s practice areas also include M&A exit transactions, corporate finance, fund formation, tax and executive compensation, intellectual property, litigation and entertainment law.Greg Marchese  is Director – External Managers, Equi, at Equi, Greg co-manages the firm's portfolio of external investment managers in public and private market strategies. With over ten years of experience in manager sourcing, due diligence, and portfolio management, Greg brings a wealth of expertise to his role at Equi.Before joining Equi, Greg held several key positions in the alternative investment industry. He was a Director of Research for North America at Prelude Capital, a multi-strategy hedge fund managing over $7 billion in AUM. He also spent a number of years at OMERS Capital Markets where he was part of a 4 person investment team managing a $5 billion portfolio of hedge fund and private market strategies. Before that, Greg worked as an investment associate at Pulse Capital Partners for several years.Greg began his career at AllianceBernstein, where he was part of a team responsible for identifying and acquiring asset management businesses. He graduated Magna Cum Laude from Fordham University's Gabelli School of Business with a B.S. in Applied Accounting & Finance.In addition to his work in the investment industry, Greg is passionate about giving back to the NYC community. He volunteers with KEEN New York, an organization that empowers youth with disabilities through one-to-one fitness programs and is active in mentoring Fordham undergraduate students who are interested in working in the investment industry.Kavita Patel is a Principal on the investment team at MUUS Climate Partners, where she is responsible for sourcing, due diligence, deal execution, and ongoing support of portfolio companies. Kavita’s career has been rooted in her passion for sustainable and inclusive economic growth . At BlackRock, Kavita focused on sustainable investing initiatives across topics including climate change, the rise of ESG, and impact measurement of investment portfolios. Her work helped clients understand ESG risks and opportunities, develop policies for sustainable investing, and allocate capital in line with impact objectives.Kavita earned her MBA at MIT Sloan, as well as the Sustainability Certificate from the MIT Sloan Sustainability Initiative. She has also worked with Women of the World Endowment to advance gender-lens investing. Kavita earned her B.S. in Business & Political Economy from NYU Stern.Rami Idriss is Managing Director, Aurora Asset, a single family officeAndy Kangpan joined Two Sigma Ventures in 2017 and is based in New York. He focuses on investments in enterprise software, cybersecurity, and crypto.Andy has been part of the early stage tech ecosystem in NYC for over a decade as an operator, advisor and investor. Prior to joining Two Sigma, Andy was an investor with ff Venture Capital where he invested in early stage companies building innovative technologies in areas such as robotics and machine learning. Andy attended NYU where he earned a BS in Finance and Marketing.In his spare time, Andy enjoys skateboarding, gaming, devouring science fiction, and going to concerts around the city.Peter Kozodoy is the Chief Executive Officer at Quantum Digital Assets, he is also the award-winning author of the leadership book Honest to Greatness which Barbara Corcoran called ""as fascinating as it is informative."" He is a serial Inc.5000 entrepreneur and TEDx speaker with a BA from Brandeis University and an MBA from Columbia Business School.Ryan Spagnolo is the Chief Investment Officer at Quantum Digital Assets and its first hedge fund offering, Quantum Sky Fund LP. He has managed multibillion-dollar investment porftolios for nearly a decade, specializing in systematic investing and risk management. He holds a BS from Babson College and an MBA from Columbia Business School and is a CFA charterholder.D﻿avid Kleinhandler is  a 35-year entrepreneur and investor, David Kleinhandler rose from humble beginnings to become a preeminent name in life insurance planning and wealth preservation. In 2022, David became one of the Co-Founders of Lifewize, Inc, a one-of-a-kind, client-centric Life Insurance Fintech Company. Another of his latest investment endeavors is his involvement in The K-Fund, a private ecosystem of Families, entrepreneurs and other private investors who share ideas, access and expertise. It consists of a diversified portfolio of growth companies and are a culmination of the best opportunities from their private investment ecosystem.David Kleinhandler supports a number of philanthropic organizations, including Carmelo Anthony-sponsored “Courts 4 Kids,” the Martin Luther King Foundation, and his own David Kleinhandler’s Life Skills, a financial literacy initiative for student athletes at Syracuse University. David serves as a board member of the David B. Falk School of Sports Management, where he has donated a basketball court in the team practice facility. He serves as a member of the board of the Skandalaris Center for Interdisciplinary Innovation and Entrepreneurship at Washington University in St. Louis. David is also a proud owner of Hapoel Jerusalem Basketball Club and the Omaha Stormchasers. Whether finding creative solutions in the office or within the community, David is passionate about making a difference by helping others, one person at a time. Constant growth, prioritization of wellbeing, mindful action, and compassionate giving are the values with which he leads in business.Agenda3:00 PM - 3:30 PM Doors Open3:30 PM - 4:15 PM Three Distinct Approaches to Family Office Strategy Panel4:15 PM - 4:30 PM Break4:30 PM - 5:15 PM Risky Business: Cracking the Code on Crypto Investments Post-FTX5:15 PM - 5:40 PM Keynote5:40 PM - 7:00 PM Networking, Happy Hour, drinks courtesy Two Sigma","Columbia Venture Community","https://www.eventbrite.com/o/columbia-venture-community-6194104329"
