web-scraper-order,web-scraper-start-url,Event,Event-href,Title,Date and Time,Location,Description,Organizer_link,Organizer_link-href
"1681241563-353","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","TOV Presents - Industry Insights on Research and Innovation SeminarsTOV Presents - Industry Insights on Research and Innovation Seminars","https://www.eventbrite.com/e/tov-presents-industry-insights-on-research-and-innovation-seminars-tickets-597187402597?aff=ebdssbdestsearch","TOV Presents - Industry Insights on Research and Innovation Seminars","Thursday, April 20 · 12 - 1pm EDT","Science Building; Ground Floor; G 19 CR 435 E 30th Street New York, NY 10016","About this event1 hourMobile eTicketIn this  monthly Industry Insights on Research and Innovation Seminar (IIRIS) series, presented by Technology Opportunities & Ventures (TOV), experts from innovative startups will join us to discuss how their companies are using cutting-edge science to develop the next generation of therapeutics, diagnostics, medical devices, and more. They will also share insights into industry trends and career opportunities, and answer questions from attendees. The events are free and open to the NYU community and a boxed lunch is provided.April's  guest speaker is Dr. Dominique Verhelle, Co-Founder, Chief Executive Officer, and Chief Scientific Officer of NextRNA Therapeutics. Dr. Verhelle has over 20 years of R&D experience and company creation.NextRNA Therapeutics is a biotechnology research company committed to leading the next revolution of RNA-directed therapeutics. Based on the foundational work of Carl Novina at Dana-Farber Cancer Institute, NextRNA has established a proprietary target and drug discovery engine that identifies disease-relevant long non-coding RNAs and their interacting proteins and develops selective small molecules to drug RNA-protein interactions. Their team of highly experienced industry leaders, biology and chemistry experts, and drug developers is currently advancing a pipeline of therapeutic programs in oncology and expanding the lncRNA’s space to neurology.Full Speaker BioDr. Dominique Verhelle serves as the Co-Founder, Chief Executive Officer and Chief Scientific Officer of NextRNA Therapeutics. Dr. Verhelle was formerly the Senior Director, Head of Academic Innovation, CEI at Takeda, where she was responsible for initiating and developing research alliances with Academic Institutes. She played a significant role accelerating innovation by building partnerships with investigators. She also contributed to creating Coho Therapeutics, a Takeda Ventures funded Newco, and was Director on the Board of Bridge Medicines.Before her Takeda appointment, Dr. Verhelle was a Principal at Third Rock Ventures. She joined in 2015 as a Strategic Advisor to focus on drug discovery and development across the portfolio of incubated companies. She played an instrumental role in building and launching Fulcrum Therapeutics and Cedilla Therapeutics.Dr. Verhelle has more than 20 years of R&D experience, principally in oncology. She was a Director Epigenetics at Pfizer in the Oncology Research Unit. Before that, she held several positions at Celgene for over nine years. She contributed to the understanding of the mechanism of action of IMiDs. She later initiated the internal epigenetic effort, led the group, and participated in partnership / M&A initiatives.Dr. Verhelle completed her postdoctoral training in the laboratory of Dr. Christopher Glass at the University of California, San Diego focusing on transcription regulation and chromatin remodeling. She holds a Ph.D. in Life Sciences from the University of Nice-Sophia-Antipolis, France, and an MBA in Entrepreneurship from the Rady School of Management, University of California, San Diego.","Technology Opportunities & Ventures","https://www.eventbrite.com/o/technology-opportunities-amp-ventures-49718771113"
"1681241567-354","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","Pop-Up mMATERIALs Show: NYC!Pop-Up mMATERIALs Show: NYC!","https://www.eventbrite.com/e/pop-up-mmaterials-show-nyc-tickets-516027671657?aff=ebdssbdestsearch","Pop-Up mMATERIALs Show: NYC!","Tuesday, October 24 · 5 - 8pm EDT","TBD TBD new york, NY 97209","About this event3 hoursMobile eTicketPlease join us for a mindful MATERIALS Pop-up event in NYC on October 24th. We'll be talking about the power of collaboration to scale our individual work to reduce the embodied impacts of the built environment; the evolution of mindful MATERIALS as a movement and an organization; and creating opportunities for connections between attendees. Speakers: TBDL﻿ocation: TBDAgenda:5:00 - 6:00pm:  Meet the exhibitors 6:00 - 7:00pm: Presentations and guided networking 7:00 - 8:00pm: Happy hourAbout these pop-up events:Our goal at mM is to connect ideas; to connect mindful materials with mindful practitioners; and connect the dots between intent and action when it comes to materials. If you're a manufacturer, architect, designer, contractor, end user/owner, educator, or anyone excited about a world with more sustainable materials for every project - join us on October 24th from 5:00p-8:00p to learn and connect with others in the materials community.Exhibitors + Sponsors: Your company here! We're actively looking for manufacturer exhibitors and event sponsors. Contact us to exhibit or sponsor this event and support mindfulMATERIALS work to build industry alignment and accelerate the adoption of holistically sustainable materials.Thanks to our exhibitors and our sponsor, Material Bank for helping to make this event, and the work that we do to advance sustainable materials in the built environment, possible!","mindful MATERIALS","https://www.eventbrite.com/o/mindful-materials-33520360443"
"1681241570-355","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","AFRIKA TRADE SHOW - NYC 2023 (2nd Edition)AFRIKA TRADE SHOW - NYC 2023 (2nd Edition)","https://www.eventbrite.com/e/afrika-trade-show-nyc-2023-2nd-edition-tickets-449600536307?aff=ebdssbdestsearch","AFRIKA TRADE SHOW - NYC 2023 (2nd Edition)","July 21 · 8am - July 23 · 7pm EDT","The Opus Westchester, Autograph Collection Renaissance Square White Plains, NY 10601","About this event2 days 11 hoursMobile eTicket>> The Afrika Trade Show is connecting entrepreneurs globally>> The largest gathering engaging entrepreneurs from Africa and its diaspora>> An unique outsourcing opportunity for black owned products and services>> Encouraging faire trade for the development of Africa>> Creating sustainable networking and collaborations between participants>> Positively promoting the “made in Africa” labels and more.**For vendor, volunteer, or sponsorship opportunities please reach out to : contact@afrikatradeshow.com**. Agenda9:00 AM - 10:00 AM OPENING CEREMONY","AFRIKA TRADE SHOW","https://www.eventbrite.com/o/afrika-trade-show-60221841533"
"1681241574-356","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","TEDxBayonne 2023 Conference: FUTURE? FUTURE!TEDxBayonne 2023 Conference: FUTURE? FUTURE!","https://www.eventbrite.com/e/tedxbayonne-2023-conference-future-future-tickets-594238071067?aff=ebdssbdestsearch","TEDxBayonne 2023 Conference: FUTURE? FUTURE!","Friday, May 19 · 6 - 9pm EDT","Bayonne Family YMCA 259 Ave E Bayonne, NJ 07002","About this event3 hoursMobile eTicketTEDxBayonne is an annual independently organized TED conference that brings together the world’s leading thinkers and doers to share ideas that matter in any subject.We're making TEDxBayonne a catalyst for Bayonne’s progress as a community and are serving to inspire people to change their lives, their futures and ultimately their world.The 2023 theme is — FUTURE? FUTURE!.This year, we’re going to explore stories and ideas that will restore our optimism in “tomorrow”, help us return to the things that matter most in our lives, and more importantly, present solutions and paradigms that will guide us in building a future worth getting excited about.Featuring the following speakers and talks:""What No One Tells You About Your Twenties"" by Livi ReddenSynopsis: The fact of the matter is many of the biggest decisions that leave a long-lasting impact on our lives generally occur in our teens and twenties– college, career, marriage, moving out, handling finances, having children, and so on. Despite all the decision-making, this time of our lives doesn't have to be so confusing and anxiety-driven. In her talk, Livi explains that a few mindset shifts and some intentional emotional development can eradicate so much of that unease and help young adults build the joyful, fulfilling future they deserve.A﻿bout the Speaker: Livi Redden is an author, speaker, and podcaster that guides teens and twentysomethings on how to intentionally steer their life through the power of emotional development, mindfulness, and accountability so they can live the fulfilling, joyful life they deserve.""Safeguarding Your Digital Life Through Effective Online Hygiene"" by Megs ShahSynopsis: We scatter information across the internet daily without realizing the serious online dangers that can result. Data is growing at an exponential rate and so are online crimes such as human trafficking, extortion, and abuse. In her talk, Megs urges people to take back control of their information and digital lives through more rigorous online hygiene practices so they can better protect their loved ones and live a safer and healthier life.A﻿bout the Speaker: Megs Shah is an award-winning entrepreneur, technologist, mom and a survivor of child sexual abuse with over 20 years of experience building digital and data products. Through her platform, The Parasol Cooperative, globally recognized by the UN Women and Forbes, she hopes to protect lives through technology and raise awareness to survivors and their families.""Active Hope: How to Win Your Mental Battles"" by Brian NandySynopsis: Brian’s talk is about activating and cultivating hope to overcome psychological difficulties. His presentation is centered around the idea of Active Hope and how our envisioned future is dependent upon our participation about what we hope for. He offers four practical ways to practice active hope, that gets us to unstuck from our despair, to propel our potential.A﻿bout the Speaker: Brian Nandy, originally from Malaysia, is a psychotherapist with 20 years of experience. His therapeutic approach is to help clients align their vision of success with healthier beliefs.""Our Breath: The Key to Innovation"" by Adrienne RiveraSynopsis:Adrienne will be speaking about breathwork and how it can be central to our ability to innovate in the 21st century world. Breathwork can naturally alter our state of consciousness to have a psychedelic-like experience which is ideal for enhancing creativity and innovating our future.A﻿bout the Speaker: Adrienne Rivera is the founder of Breath of Gold, a business that certifies people to become breathwork facilitators. She specializes in working with entrepreneurs, CEOs, and business owners to support them by using breathwork to take their business and life to the next level. Adrienne is also a speaker, best-selling author, and founder of the 12 Week Breath of Gold Journal. She travels the world and leads numerous leadership and breathwork retreats.""Chronically Online: The Epidemic of The Century"" by Alana LintaoSynopsis: In her talk, Alana discusses the harm that social media’s influence will cause in years to come if people don’t start making changes to their media consumption today. She talks about the relationship between social media and sedentary lifestyles, physical health, and the ever evolving cultural landscape. She aims to use this talk to provide solutions to this silent epidemic and urges people to start participating in those solutions.A﻿bout the Speaker: Alana Lintao is a content creator, student, and model. She is widely known for her short-form videos and has worked closely with companies such as Meta, YouTube, Amazon, Uber, and more. Dedicated to using her platforms to spread laughter and joy, she hopes to continue to leave a positive impact on her audience’s lives through her content online.""The Data-Driven Journey to Optimal Health"" by Lindsay O'NeillSynopsis: Throughout her 20+ year career Lindsay has run teams that built platforms to automate marketing decisions using Big Data in milliseconds! So when she got sick with a chronic inflammatory disease, she turned to her expertise in data collection and utilization to help figure out the cause of her illness and address it effectively. During her career, she was hailed by Forbes, CBS and Crains NY as a top entrepreneur. Lindsay’s SmallHinges.Health Method utilizes efficacious data to identify the most important, yet simple, changes to make your diet and lifestyle for optimal health, happiness and success.A﻿bout the Speaker: Lindsay O'Neill is the founder of SmallHinges.health @smallhinges, Certified Culinary Medicine Chef, Wellness Coach, Board Member of #HalfTheStory and career Ai/Data Technologist. She believes that you DON'T have to change everything to change everything - small hinges swing the big door of positive change. In her TedX talk, Lindsay will take you on a journey to a happier, healthier, longer life, by giving you a data-driven, “Small Hinges” roadmap.""Growing Up in an Era of Exponential Change"" by Nova Pierre LouisSynopsis: In her talk, Nova shares a personal experience of being almost kidnapped and how it changed her perspective on the world. She discusses the concept of “Future Shock”, which she defines as an overwhelming sense of fear and anxiety due to the rapid pace of change in our world. Nova highlights the challenges and fears that young people face in today’s world, from unemployment to growing economic inequality and calls the world to help young people navigate through these changes.A﻿bout the Speaker: Nova Pierre Louis is a youth advocate and social entrepreneur with a focus on empowering and advancing the youth community. She is currently pursuing a degree in business administration with a concentration in entrepreneurship. Nova immigrated from Haiti in 2021 to create a better future for herself and other young people in similar circumstances, and is committed to making a positive impact on the world.I﻿MPORTANT NOTECome ready to learn and meet new friends! Some of the brightest minds around NJ/NYC will be on stage and in the audience. DRESS CODEDress to impress! We recommend smart casual attire.SEATSThere are no seating arrangements, you can sit wherever you like! First row seats are available to those who show up earlier!PARKINGParking is available to the side of the building on a first come, first serve basis.IN-PERSON EVENTPlease note this is an in-person event only. We will not be live streaming the event so please book tickets only if you can attend in person.We're looking forward to seeing you there!Learn more at TEDxBayonne.comH﻿ave a question? Email us at info@tedxbayonne.comAgenda6:00 PM - 6:15 PM Open Doors6:15 PM - 6:20 PM Introduction6:20 PM - 6:50 PM Act I: 4 Talks""What No One Tells You About Your Twenties"" by Livi Redden ||| ""Safeguarding Your Digital Life Through Effective Online Hygiene"" by Megs Shah ||| ""Active Hope: How to Win Your Mental Battles"" by Bria...
View More6:50 PM - 7:00 PM Intermission7:00 PM - 7:30 PM Act II: 3 Talks""Chronically Online: The Epidemic of The Century"" by Alana Lintao ||| ""The Data-Driven Journey to Optimal Health"" by Lindsay O'Neil ||| ""Growing Up in an Era of Exponential Change"" by Nova Pierre Lou...
View More7:30 PM - 8:30 PM NetworkingOptional portion of the eventView all agenda","TEDxBayonne","https://www.eventbrite.com/o/tedxbayonne-41912124453"
"1681241577-357","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","Earning Green by Investing GreenEarning Green by Investing Green","https://www.eventbrite.com/e/earning-green-by-investing-green-tickets-526167058837?aff=ebdssbdestsearch","Earning Green by Investing Green","Thursday, April 27 · 8:45am - 5:30pm EDT","Norton Rose Fulbright 1301 6th Avenue New York, NY 10019","About this eventClick here to get tickets and more information, including speaker photos and bios.Speakers and Agenda subject to changeWebinar Sponsors:Financial Poise Productions  (Co-Producer)ReFED(Co-Producer)Tech Up for Women(Co-Producer)Women in Climate Investing and Finance (Co-Producer)Women + in Climate Tech (Co-Producer)Women of Renewable Industries and Sustainable Energy (WRISE) - (Co-Producer)The NYC Metro Chapter of the Private Directors Association (Associate Producer)Private Director Symposium (Associate Producer)Please contact info@financialpoise.com if your organization is interested in becoming an associate producer for this event.","Financial Poise Productions","https://www.eventbrite.com/o/financial-poise-productions-30878530181"
"1681241580-358","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","The Neglected Minority: The Science of Asians’ Bamboo CeilingThe Neglected Minority: The Science of Asians’ Bamboo Ceiling","https://www.eventbrite.com/e/the-neglected-minority-the-science-of-asians-bamboo-ceiling-tickets-571012743487?aff=ebdssbdestsearch","The Neglected Minority: The Science of Asians’ Bamboo Ceiling","Tuesday, April 25 · 12:30 - 1:30pm EDT","Room 640, Geffen Hall, Columbia Business School 645 West 130th Street New York, NY 10027","About this event1 hourMobile eTicketThe Neglected Minority: The Science of Asians’ Bamboo CeilingTuesday, April 25, 2023 | 12:30 – 1:30 PM (Lunch will be provided)Room 640, Geffen Hall, Columbia Business School (Map)(645 West 130th Street, New York, NY 10027)Featuring:Jackson G. Lu PhD '18Sloan School Career Development Associate Professor MIT Sloan School of ManagementModerator:David E. WeinsteinDirector, Center on Japanese Economy and Business, Columbia Business School; Carl S. Shoup Professor of the Japanese Economy, Columbia UniversitySynopsis:Well-educated and prosperous, Asians are known as the “model minority” in the U.S. On average, Asians have the highest educational achievement, highest median income, lowest unemployment rate, and lowest crime rate. However, they appear disproportionately underrepresented in leadership positions, a phenomenon known as the “Bamboo Ceiling.” While there are various speculations about why this happens, the present research systematically investigates the science behind it.About the Speaker: Jackson G. Lu PhD '18 is the Sloan School Career Development Associate Professor in Work and Organization Studies at the MIT Sloan School of Management. He studies culture and globalization through two distinctive research streams. His first research stream examines the “Bamboo Ceiling” experienced by Asians despite their educational and economic achievements in the United States. His second research stream elucidates how multicultural experiences (e.g., working abroad, intercultural friendships) shape key organizational outcomes, including leadership, creativity, and ethics.Jackson has published in top general science journals (Nature Human Behaviour, Proceedings of the National Academy of Sciences), management journals (Journal of Applied Psychology, Organizational Behavior and Human Decision Processes, Organization Science), and psychology journals (Annual Review of Psychology, Journal of Personality and Social Psychology, Psychological Science). His research has been featured in over 200 media outlets in different languages (e.g., BBC, The Economist, The Financial Times, Harvard Business Review, NPR, The Boston Globe, The New York Times, The Washington Post).He has received prestigious awards and honors, including 40 Best Business School Professors Under 40, 30 Thinkers to Watch, NLS Rising Star Award from the Academy of Management, Early Career Award from the International Association for Conflict Management, Rising Star Award from the Association for Psychological Science, and SAGE Early Career Trajectory Award from the Society for Personality and Social Psychology. Jackson received his PhD from Columbia Business School.Admission and Contact: You must register to attend this in-person-only event.If you have questions about the event, please contact us at cjeb@gsb.columbia.edu. This event is part of CJEB’s Japanese Management Leadership Program (JMLP).Special Notes:● Advance registration is required to attend this event. ● This in-person-only event is open to the public and will not be live streamed. Please note registration does not guarantee a seat.● Please be advised that your presence constitutes your permission to allow Columbia University to use your likeness for the purpose of content creation for use in social media, web, and other editorial, non-commercial purposes. If this is an issue, please let us know.● Please note that due to current University guidelines in response to the COVID-19 pandemic, all visitors must have their primary series of COVID-19 vaccination and be prepared to show proof if asked.﻿For more information about other CJEB events, visit our website or contact cjeb@gsb.columbia.edu.","Center on Japanese Economy and Business","https://www.eventbrite.com/o/center-on-japanese-economy-and-business-17803856672"
"1681241583-359","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","Stewardship of the Earth SummitStewardship of the Earth Summit","https://www.eventbrite.com/e/stewardship-of-the-earth-summit-tickets-591427183627?aff=ebdssbdestsearch","Stewardship of the Earth Summit","Saturday, April 29 · 10am - 3pm EDT","Mt Pisgah Ame Church 354 Forrest Street Jersey City, NJ 07304","About this event5 hoursMobile eTicketMt. Pisgah AME Church In celebration of Earth Day, The ""Stewardship of the Earth"" Summit will consider the impact of the Black Farmers Act on food security and how urban communities can take ownership on how to address food security issues.  This is a hybird event that will take place at Mr. Pisgah AME Church, 354 Forrest St., Jersey City, NJ 07304													   SUMMIT OUTLINE10:00 am-12 noon: Black Farmer’s Market (Church parking lot)1﻿1:00-12:00 noon:  VIRTUAL CHILDREN'S SUMMITChildren's Summit Guest Speaker, Denise Soloman, Kingston, Jamaica 12 noon: Invited Keynote Speaker, Senator Cory Booker, the Justice for Black Farmers Act12:30 pm: Black Farmers Act panel discussion1:00 pm: Sustainable Luncheon1:45 pm: Documentary Viewing-Rhythms of the Land, written and directed by Dr. Gail Meyers, founder of Farms to Grow, Oakland, CAClosing Discussion and final remarks, Rev. Ritney Castine, Servant/PastorCommunity Partner:  New Jersey Conservation FoundationThe C﻿hildren's Summit is  virtual/online.  Guest author, Denise Salmon , from Kingston, Jamaica will extend her encouragement through her book to get kids interested in food, where it comes from, and how to grow them.S﻿ponsors:Hudon County D﻿epartment of Health & Human ServicesHudson County Office of Cultural & Heritage AffairsN﻿ew Jersey Conservation FoundationW﻿OCPSCN","Loretta Green-Williams","https://www.eventbrite.com/o/loretta-green-williams-14601828282"
"1681241586-360","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","Feeding Our Kids: Foods, Fads and the Future.Feeding Our Kids: Foods, Fads and the Future.","https://www.eventbrite.com/e/feeding-our-kids-foods-fads-and-the-future-tickets-525260086057?aff=ebdssbdestsearch","Feeding Our Kids: Foods, Fads and the Future.","Saturday, April 15 · 7:30am - 1pm EDT","W Hoboken 225 River Street Hoboken, NJ 07030","About this event5 hours 30 minutesMobile eTicket“Feeding our Kids: Food, Fads and the Future” is intended to be a single-topic, encyclopedic professional education (CME/CE) conference covering all issues related to infant nutrition, current dietary fads and the state-of-the-art in food technology.This conference offers 4.5 hours of certified education and is geared to health care providers; with focus on Dietitians, Family Practitioners and Pediatricians. We will have speakers from France and the USA speaking on topics ranging from sustainable agriculture in the US vs Europe, food allergies, food supply challenges, Celiac Disease, nutrition risks associated with specific elimination diets  and risks our children face with fad diets.","J. Antonio Quiros","https://www.eventbrite.com/o/j-antonio-quiros-59581127713"
"1681241590-361","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","It's a Design Emergency!It's a Design Emergency!","https://www.eventbrite.com/e/its-a-design-emergency-tickets-603982717567?aff=ebdssbdestsearch","It's a Design Emergency!","Tuesday, April 25 · 3 - 4pm EDT","PENN 1 1 Pennsylvania Plaza New York, NY 10119","About this event1 hourMobile eTicketIn every global challenge and crisis, designers and architects are on the frontlines. Working shoulder to shoulder with scientists, artists, engineers, and activists, they are coming up with solutions and strategies you could never have imagined!Join Paola Antonelli, Senior Curator of Architecture & Design and founding Director of Research and Development at the Museum of Modern Art (MoMA), and Metropolis editor in chief Avinash Rajagopal for a conversation on design's power to envision a better future for all.","SANDOW DESIGN GROUP","https://www.eventbrite.com/o/sandow-design-group-34089933741"
"1681241593-362","https://www.eventbrite.com/d/ny--new-york/sustainable-development/?page=5","The Future of Public Space in NYCThe Future of Public Space in NYC","https://www.eventbrite.com/e/the-future-of-public-space-in-nyc-tickets-528040422117?aff=ebdssbdestsearch","The Future of Public Space in NYC","Wednesday, April 26 · 6:30 - 7:45pm EDT","Elebash Recital Hall, The Graduate Center 365 5th Avenue New York, NY 10016","About this event1 hour 15 minutesMobile eTicketPart of what makes New York City great is its beloved public spaces. In her book Why Public Space Matters, Setha Low shows how thriving public spaces enhance creativity, health, urban resilience, and environmental sustainability; yet more than ever, these spaces are threatened by urban development, privatization, and neglect. Drawing on these insights, an expert panel envisions ways to make New York City more equitable through innovative approaches to its parks, plazas, waterways, and sidewalks. David Gonzalez, journalist at The New York Times, leads a discussion featuring Susan M. Donoghue, commissioner, New York City Department of Parks and Recreation; Erik Kulleseid, commissioner, New York State Office of Parks, Recreation, and Historic Preservation; and Setha Low, distinguished professor at the CUNY Graduate Center.","GC Public Programs","https://www.eventbrite.com/o/gc-public-programs-12425664023"
