Event Name	Short Description	Start	End	Location	City	Relevance	Event URL
London Climate Technology Show 2023	Connecting Global Climate Technology Stakeholders for a Sustainable Future	2023-09-26 09:00	2023-09-27 17:00	ExCeL London, 1 Western Gateway London E16 1XL United Kingdom	London	TRUE	https://www.eventbrite.com/e/london-climate-technology-show-2023-tickets-542446852137
Tech Up For Women Conference NYC	A one day conference event to advance through technology knowledge.	2023-11-14 10:00	2023-11-14 19:00	Jacob Javits Convention Center, 655 W 34th St Special Events Hall 1D, New York, NY 10001	New York	TRUE	https://www.eventbrite.com/e/tech-up-for-women-conference-nyc-tickets-500908570017
SUNSET YACHT PARTY NYC! Cabana Boat Party! Sat., May 27th	 4 hour yacht party event with 2 floors of music including a climate-controlled Main Floor & Upper Deck and hookah available	 2023-05-27 18:00	 2023-05-27 22:00	 Skyport Marina, 2430 FDR Drive New York, NY 10010	 New York City	 FALSE.	https://www.eventbrite.com/e/sunset-yacht-party-nyc-cabana-boat-party-sat-may-27th-tickets-528412675537
13th Annual International Gold and Diamond Conference	Join leading experts for a wide-ranging look at the jewelry, precious metals, and diamond industries. Jewelry is our lens, with a twin focus on artistry and responsible practice. A focus, we suggest, unique to IAC.	2023-07-17 17:00	2023-07-19 17:00	Bohemian National Hall, 321 East 73rd Street Between 1st and 2nd Ave New York, NY 10021	New York	TRUE	https://www.eventbrite.com/e/13th-annual-international-gold-and-diamond-conference-tickets-539647087967
Out in Climate - NYC Pride Month Mixer hosted by Tishman Speyer	Celebrate Pride Month with your fellow LGBTQ+ professionals working in climate!	2023-06-13 18:30	2023-06-13 21:30	Tishman Speyer, 600 5th Ave 2nd Floor New York, NY 10111	New York	TRUE	https://www.eventbrite.com/e/out-in-climate-nyc-pride-month-mixer-hosted-by-tishman-speyer-tickets-607857707767
Women in  Digital Assets Forum 2023	Join us for our inaugural Women in Digital Assets Forum 2023, where we will be celebrating women leaders who are embracing digital assets.	2023-06-06 14:30	2023-06-06 20:00	Abigail Kirsch at The Loading Dock, 375 Fairfield Avenue Stamford, CT 06902	Stamford	TRUE	https://www.eventbrite.com/e/women-in-digital-assets-forum-2023-tickets-529832722937
Talea with Climate Cafe	We'll be going to a brewery called Talea at 6:30 pm on Thursday May 25 with Jon and Gianna from Climate Cafe.	2023-05-25 18:30	2023-05-25 20:00	TALEA Beer Co. 87 Richardson Street Brooklyn, NY 11211	New York	TRUE	https://www.eventbrite.com/e/talea-with-climate-cafe-tickets-639700781257
Newtown Creek Kelp Cruise	Come see the kelp we are farming in Newtown Creek! We will climb aboard two big canoes and take a meandering paddle to visit our kelp sites.	2023-05-29 14:00	2023-05-29 16:00	Manhattan Avenue Park Manhattan Avenue Brooklyn, NY 11222	Brooklyn	TRUE	https://www.eventbrite.com/e/newtown-creek-kelp-cruise-tickets-624916119937
Biannual Open Lab	A biannual gathering where Genspace members share their work with each other and the public. Meet other life science enthusiasts and hear about opportunities to get involved with individual and community projects.	2023-06-01 18:00	2023-06-01 21:00	132 32nd Street Suite 108 Brooklyn, NY 11232	New York	FALSE	https://www.eventbrite.com/e/biannual-open-lab-tickets-619101448097
Tech and Startup Networking Mixer	An opportunity to network with potential investors, customers, partners, and mentors. Whether you're just starting out or you're an established entrepreneur, you'll find something valuable at this event.	2023-06-01 17:00	2023-06-01 20:00	110 Delancey Street New York, NY 10002	New York	FALSE.	https://www.eventbrite.com/e/tech-and-startup-networking-mixer-registration-638346891737
Bollywood Cruise : Memorial Day Weekend Desi White Party @ Pier 83 NYC	"
A one-of-a-kind Bollywood Boat Party with captivating views of the Manhattan skyline"	"
2023-05-27 18:00"	2023-05-27 23:00	"
Pier 83 Midtown, 12th Avenue & 42nd Street New York, NY 10036"	"
New York"	"
FALSE"		https://www.eventbrite.com/e/bollywood-cruise-memorial-day-weekend-desi-white-party-pier-83-nyc-tickets-421744949497
The #1 HIP HOP & R&B Boat Party Cruise NYC	 Dancing under the stars on the Hudson River! Indoor Stages & Open Air Dance Floors! Stunning views of the Statue of Liberty in NYC!	 2023-05-26 22:00	 2023-05-27 02:00	 Pier 40 Hornblower Cruises & Events, 353 West New York, NY 10014	 New York	 FALSE.	https://www.eventbrite.com/e/the-1-hip-hop-rb-boat-party-cruise-nyc-tickets-476191921857
