Event URL	Event Name	Relevance	Start	End	Location	City	Organizer	WorkedByGPT	Description			
https://www.eventbrite.com/e/environmental-justice-street-fair-tickets-634017111247?aff=ebdssbdestsearch	Environmental Justice Street Fair	TRUE	5/20/23 12:00	5/20/23 15:00	31st Avenue 31st Avenue Queens NY	NYC	https://www.eventbrite.com/o/queens-climate-project-63493191803	TRUE	"Join us and many other organizations to learn about important climate issues and how you can help! There will be free giveaways and fun activities for all! We will be joined by esteemed assembly member Jessica González-Rojas, and city council member Tiffany Cabán, as well as many other climate based organizations."			
https://www.eventbrite.com/e/design-day-at-the-yard-tickets-588187975067?aff=ebdssbdestsearch	Design Day at the Yard!	FALSE	5/20/23 12:00	5/20/23 16:00	Brooklyn Navy Yard Building 77 141 Flushing Ave (at Vanderbilt Ave) Brooklyn NY 11205	NYC	https://www.eventbrite.com/o/brooklyn-navy-yard-1555529012	TRUE	"About this event4 hoursMobile eTicketDESIGN DAY AT THE YARDwith partners NYC x DESIGN, Smart Design, Methuselah Foundation, and featuring NASA's Deep Space Food ChallengeD﻿esign open studios: 12 pm - 4 pmP﻿anel discussion: 5 pm - 6:30 pmOVERVIEWIn celebration of NYC x DESIGN Festival, the Brooklyn Navy Yard is a vibrant ecosystem of design - all phases of the design process from concept to prototyping to refinement unfold across our 300-acre campus. Step inside the Yard to meet entrepreneurs defining the future of design from production realization to sustainably sourced food and explore diverse design fields from fashion to photography to applied design and more. The Yard is one of the city’s most iconic innovation centers with a legacy of supporting technology, invention, innovation, and workforce development for more than 200 years. As we undergo plans for expansion, the Yard is increasingly a hub for design and thought-leadership attracting local, national, and international brands.This event is geared towards design professionals and innovation leaders – individual designers, business owners, and design-focused media outlets – as well as customers and clients looking to buy direct and collaborate with local designers. The Brooklyn Navy Yard is where the fortune 500 come to work with the most future-facing organizations.D﻿ESIGN OPEN STUDIOS: 12 pm - 4 pmFeatured Partner: Smart DesignSmart Design helps ambitious organizations build the future. We are an independently-owned strategic design company that humanizes products, services, and experiences through deep research, insights and design strategies. Powered by passion and purpose, we design to help people and businesses thrive.Featured Partner: Methuselah FoundationMethuselah Foundation is a biomedical charity established to extend the healthy human lifespan. The Foundation incubates and sponsors mission-critical ventures, scientific research, and open innovation challenges that accelerate breakthroughs with the goal of making 90 the new 50 by 2030. In coordination with NASA Centennial Challenges, the Canadian Space Agency, and Impact Canada, the Methuselah Foundation administers the Deep Space Food Challenge.Featured Guest: NASA Centennial ChallengesNASA Centennial Challenges were initiated in 2005 to directly engage the public in the process of advanced technology development. The program offers incentive prizes to generate revolutionary solutions to problems of interest to NASA and the nation. The program seeks innovations from diverse and non-traditional sources. Competitors are not supported by government funding and awards are only made to successful teams when the challenges are met.Featured Presentation: NASA Deep Space Food Challenge Innovation Showcase at Smart DesignNASA’s Deep Space Food Challenge is an international competition where teams create novel, game-changing food technologies that efficiently produce nutritious and delicious food for both those on Earth and Astronauts on long-duration space missions. Come meet the teams and see mind-blowing tech demos from both Phases One and Two of the Deep Space Food Challenge.The Deep Space Food Challenge is a coordinated effort between NASA and the Canadian Space Agency. Subject matter experts at NASA’s Johnson Space Center in Houston and the agency’s Kennedy Space Center in Florida support the competition. The Deep Space Food Challenge is one of NASA’s Centennial Challenges, which are part of the Prizes, Challenges, and Crowdsourcing program within NASA’s Space Technology Mission Directorate. The agency’s Marshall Space Flight Center in Huntsville, Alabama, manages Centennial Challenges. NASA, in partnership with the Methuselah Foundation, oversees the United States and international competitors.E﻿xplore these additional open studios:﻿S﻿mart Design 5Ten VisualsECCOEvan Z CraneF﻿erra DesignsFydelityHUSH StudiosKirrin FinchMARCO BAGAMatthew GrandinN﻿aval Cemetery LandscapeRefoundryScott Jordan FurnitureSINT﻿arform MotorcylesUrban HomecraftUrbanstrongWork at HandD﻿rop into these showrooms:Hip Hop ClosetKirrin FinchScott Jordan FurnitureSINUrbanstrongEnjoy food and drink:Kings County DistilleryRooftop RedsRuss & DaughtersTransmitter Brewing F﻿EATURED PANEL: 5 pm - 6:30 pmNASA Deep Space Food Challenge and Beyond at Smart DesignCelebrating the spirit of design and innovation that will make deep space exploration possibleJoin John Anderson, Executive Technology Director at Smart Design, as he welcomes Ralph Fritsche, Senior Project Manager for Space Crop Production at NASA, and Conrad Zeidler, Engineer, Food Production Team at the Canadian Space Agency for a discussion on the role and impact of design and innovation as we reach for the stars. Starting with the NASA Deep Space Food Challenge, they will discuss their approaches and perspectives to designing and developing food production systems, terrestrial analogs and the infrastructure needed to sustain long-duration space missions and everyday life in your home and community.Registering via this Eventbrite page for the Yard's design open studios ONLY.R﻿egister here for the panelS﻿PACE IS LIMITED. RSVP NOW TO RESERVE YOUR SEAT. IN-PERSON REGISTRATION WILL CLOSE ON MAY 16. The event will be live-streamed on Zoom for all.C﻿HECK-INB﻿uilding 77 (141 Flushing Ave at Vanderbilt Ave)S﻿ands Street Gate (399 Sands Street at Navy Street)G﻿ETTING TO THE YARDB﻿y car: THERE IS NO PARKING ON-SITE FOR EVENTS. Car services can easily drop you off at either check-in.B﻿y bus: B57 & B69 take you close to both check-insB﻿y train: The F at York Street is a 10-minute walk to the Sands Street Gate check-in; the G at Clinton/Washington is a 15-minute walk to the Building 77 check-in.B﻿y NYC Ferry: The Astoria line comes into Dock 72 where you can walk over to Building 77 to check-in and get a map.B﻿y bike: There are Citi Bike racks and traditional bike racks at the Yard.A﻿DDITIONAL NOTICESBy registering for the event, you understand that photography and/or video may be taken at the event for marketing or promotional purposes and you consent to being filmed or photographed for such use.  Furthermore, you release the Brooklyn Navy Yard Development Corporation, its officers, employees, and agents, from any liability in connection with such photography or videography and the use thereof, and waive any claims you may have for payment in connection with such materials and the use thereof. Masks are not required for entry; however, individual design studios may request or require masks to be worn inside their spaces. If masks are required by business owners in their spaces, the Yard expects guests to honor these requests and to be respectful of the rights of each business to manage their space as they see appropriate.  The Brooklyn Navy Yard is smoke-free. Frequently asked questionsWhere do visitors enter?Are cars allowed?Are masks or vaccinations required?Is this event only for designers?Is this event ok for kids?Are the buildings wheelchair accessible?."			
https://www.eventbrite.com/e/desi-cruise-memorial-day-weekend-bollywood-whiteparty-pier-83-nyc-tickets-421744247397?aff=ebdssbdestsearch	Desi Cruise : Memorial Day Weekend Bollywood WhiteParty @ Pier 83 NYC	FALSE	5/27/23 18:00	5/27/23 23:00	Pier 83 Midtown 12th Avenue & 42nd Street New York NY 10036	NYC	https://www.eventbrite.com/o/desisaturdayscom-25188472653	TRUE	"Price increase warning: Bollywood On The Hudson Advance ticket prices go up significantly (100% +) the closer you get to the event date.Climb aboard a one-of-a-kind Bollywood Boat Party, for an opportunity to view New York City from the comfort of multiple climate-controlled decks (indoor and outdoor). Surrounded by spectacular sights outside and elegant amenities inside, you will glide past many of New York's most legendary landmarks, including the Statue of Liberty, Freedom Tower, Empire State Building and the Brooklyn Bridge.Expect to dance away on our nightclub on the water and take plenty of snaps of the view!Your Cruise Experience Will  Include:Scenic 4 Hour Cruise of the NYC harbor.Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more.Appetizers & Main Course Will Be Available For Purchase.Open-Air deck and climate-controlled indoor cabins.Dj Dharak & Dj BollyBoom playing all styles of Bollywood, Top 40 & more.Paid Parking Available On the Pier (Arrive Early). The dress code is ""White Summer Chic"".Please arrive early so you don't miss the Boat. No Refunds if you miss it!This Event is Strictly For 21 & Over. Proper Physical ID Will Be Required To Board.Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Small Cakes are permitted - no other outside food allowed)Event Information:Boarding: 6:00PMDeparture: 7:00 PMEnds: 11:00 PMQ&A:WHERE DO I BOARD?The Bollywood Cruise boards at Pier 83, (42nd St & 12 Ave),NYCWHAT TIME IS BOARDING/DEPARTURE?Guests will be able to board the yacht at 6 pm.The yacht is scheduled for departure at 7:00 pm sharp.WILL THERE BE PARKING?Pier 83 has parking garages for an average of $35.00 per vehicle. WILL THERE BE A DRESS CODE?Yes! Guests must wear ALL WHITE to attend this event.The dress code is 'Dress to Impress':No hats | No tims/boots | No joggers | No sweats | No basketball shorts**NO EXCEPTIONS**WILL THIS EVENT BE RAIN OR SHINE?Rain? No problem, there are indoor dance floors and indoor sitting areas!  In the event of a cancellation, your ticket will be valid for any upcoming Bollywood Cruise date for the 2023 Season. TICKETS ARE NON-REFUNDABLE.Contact us for more information & special reservations:Email: DesiSaturdays@Gmail.Com or call / text Josh: (908) 425 - 1603."			
https://www.eventbrite.com/e/brooklyn-job-fair-june-29-2023-brooklyn-career-fairs-tickets-492919705107?aff=ebdssbdestsearch	Brooklyn Job Fair June 29 2023 - Brooklyn Career Fairs	FALSE	6/29/23 10:00	6/29/23 14:00	Brooklyn Virtual Job Fair Brooklyn NY 11216	NYC	https://www.eventbrite.com/o/best-hire-career-fairs-8491245540	TRUE	"BROOKLYN JOB FAIR JUNE 29, 2023 ABOUT THIS VIRTUAL BROOKLYN JOB FAIR Are you looking for a job in the Brooklyn area? If you are, then you need to register and attend this event. Best Hire Career Fairs has provided the best hiring events in the country for the last five years. What sets us apart from our competition is that we identify what employers are looking for and match them with the best candidates. If you’re in the market for a new job or advancing your career, you will want to be at this event. Make sure you log on early. GET READY FOR VIRTUAL BROOKLYN JOB FAIRS A job fair is a great place to interview with hiring managers in your area who are the decision-makers. Stop spending hours sending resumes out to no response. Update your resume and bring your A-game to stand out in the crowd. COST OF ATTENDING BEST HIRE BROOKLYN VIRTUAL JOB FAIRS There is no cost to attend this event if you are a job seeker. If you are an employer who is hiring and would like to participate in this job fair, call us toll-free at (888) 899-8802. One of our awesome team members will get you the information needed to register. INFORMATION ABOUT JOB FAIRS IN BROOKLYN JOB FAIR LOCATION https://jobfairpro.com"			
https://www.eventbrite.com/e/ai-tech-summit-4th-annual-tickets-150406135801?aff=ebdssbdestsearch	Ai Tech Summit (4th Annual)	FALSE	9/27/23 10:00	9/27/23 12:00	Location TBA TBA New York NY 10036	NYC	https://www.eventbrite.com/o/global-startup-ecosystem-26000946435	TRUE	"Global Startup Ecosystem Announces the 3rd Annual Ai Tech Summit in Partnership with Microsoft To accelerate developments within the artificial intelligence and robotics industry, the Global Startup Ecosystem will be hosting the 4th annual Ai Tech Summit . The Ai Tech Summit is the world’s most exclusive event featuring Ai tech investors, entrepreneurs and influencers coming together to address the world’s greatest challenges via Ai technology. The summit also serves to teach fundamentals of Ai technology, leading applications of Ai, and startup development strategies via exclusive workshop sessions with award winning experts. Previous speakers include Alex Poon- COO & Founder at X.ai, Meg Columbia-Walsh Women In IT 2018 Entrepreneur of the Year, Mina Salib Program Director, Catalyst Program at Future Labs at NYU Tandon School of Engineering,, Kate Bradley Chernis Founder & CEO of Lately and Paul Levy Chief Chatbot Officer at ArtificialChat Inc.This year’s digital summit experience will include A series of keynotes, panels and fireside chats Live Q/A sessions with speakers and sponsors Exhibitor showcase demosCollaboration networking sessions For more information on tickets, sponsorships and partnerships, please email the team at events@globalstartupecosystem.com .About Ai Tech Summit: Ai Tech Summit is the world’s most exclusive event featuring Ai tech investors, entrepreneurs and influencers coming together to address the world’s greatest challenges via Ai technology. The summit also serves to teach fundamentals of Ai technology, leading applications of Ai, and startup development strategies via exclusive workshop sessions with award winning experts. The program concludes with a high profile call to action VIP gathering speakers and partners.Ai Tech Summit Media Team(E) events@globalstartupecosystem.com .(W) www.Aitechsummit.orgAbout Global Startup Ecosystem: Global Startup Ecosystem (GSE): is the world’s first digital accelerator and leads today as one of the largest digital ecosystem development platforms. With a mission to educate, inspire and prepare individuals and organizations for the digital age, GSE brings together both private and public stakeholders to address humanity’s greatest challenges via exponential technologies and entrepreneurship. GSE is now the fastest growing tech and business community with an online network that accelerates 1000+ companies a year across 90+ countries and an offline network that supports 75,000+ global delegates a year via its iconic tech summits. This evolving tech community is now a source of tech talent for the remote workforce of the future; accelerating people into the fastest growing tech startups and corporate career networks.(E) events@globalstartupecosystem.com (W) www.globalstartupecosystem.com Apply to Startup Lab via https://forms.gle/WtXZCH3tedz9Prq28."			
https://www.eventbrite.com/e/chloe-capital-founder-fellowship-showcase-tickets-622136405737?aff=ebdssbdestsearch	Chloe Capital Founder Fellowship Showcase	FALSE	5/30/23 17:00	5/30/23 20:00	Company Ventures 335 Madison Avenue 7th Floor New York NY 10017	 NYC	https://www.eventbrite.com/o/chloe-capital-17950076093	TRUE	"Investors, Founders, and Community Members, join us for Chloe Capital’s Founder Fellowship showcase, which will feature the latest innovations from the brightest minds in our community.The Founder Fellowship is an accelerator in partnership with NYCEDC that provides emerging entrepreneurs with the resources and support they need to scale their businesses. The showcase is an opportunity to see the fruits of their labor and network with other founders, investors, and members of the business community.The showcase will include presentations from our current cohort of Fellows, special announcements from our partners, and will be followed by a gathering of best-in-class entrepreneurs, investors, philanthropists, and city officials for an evening of networking. We will have a reception with drinks and light hors d'oeuvres after the showcase. With limited space, we kindly ask that you RSVP to reserve your spot. T﻿HE FELLOWSC﻿lick here to learn more about the companies.T﻿HE VENUECompany Ventures335 Madison Avenue,New York, NY, 10017R﻿oom: The Commons, 7th FloorRSVP above to reserve your spot! A﻿bout Chloe Capital Chloe Capital is a movement-driven venture capital firm investing with a gender and diversity lens. We focus on diverse women tech leaders who are solving the world’s biggest problems across climate, education, and health. Our superpower is our ecosystem-building work. Our accelerator programs allow us to access unique deal flow, enhance visibility and provide networks and resources for our founders throughout the #InvestInWomen Tour.A﻿bout NYCEDC New York City Economic Development Corporation is a mission-driven, nonprofit organization that creates shared prosperity across New York City by strengthening neighborhoods and creating good jobs. We work with and for communities to bring emerging industries to New York City; develop spaces and facilities for businesses; empower New Yorkers through training and skill-building; and invest in sustainable and innovative projects that make the city a great place to live and work."			
https://www.eventbrite.com/e/quantum-supremacy-is-your-java-cryptography-architecture-ready-tickets-630229321867?aff=ebdssbdestsearch	Quantum Supremacy: Is Your Java Cryptography Architecture Ready?	FALSE	5/18/23 18:00	7:30 PM	Microsoft Technology Center 11 Times Square New York NY 10036	NYC	https://www.eventbrite.com/o/nyjavasig-2622223972	TRUE	"Today's traditional cryptographic algorithms and key exchange technologies will soon fall to quantum adversaries, whether using Grover's algorithm to whittle down symmetric keys or Shor's to overcome their asymmetric equivalents. As the price of storage plummets, vast amounts of encrypted data is already being stored with the knowledge it will be vulnerable within a short time frame. Data at rest has the longest duration and hence the greatest concern. Whether in financial services, health care, industry or government, the time to rethink existing cryptographic architecture is now.This presentation will explain the current landscape, covering existing and upcoming technologies that will undermine current algorithms. We will briefly explore the mathematical underpinnings of current implementations and see how quantum algorithms will shortly render these solutions susceptible to attack. Then, we will move to the draft NIST standards for a post-quantum (or at least far more quantum-resistant) set of proposals for how organizations can evolve and adapt, covering existing finalists for post-quantum implementations (and their recent hacks), as well as using quantum to defend against quantum, particularly in the realm of better entropy. Finally, we will present code examples and interactive demonstrations of the performance and strength of cutting-edge ciphers and how to integrate them into a Java environment to protect data in transit and in storage. Speaker: Sascha Goldsmith is a technologist with over 30 years of experience in various industries. With a law degree and a decade-long career in finance, he has always been passionate about security and privacy. Sascha's patented methods for private web browsing are revolutionary. He has led teams to deploy the first publicly facing Scala service at Amazon and owned the frameworks used by over 600 teams at Amazon for front-end and back-end applications. Sascha now serves as the CTO of Quantum Knight, where he develops the company's post-quantum set of cryptographic tools that operate at much higher key sizes and speeds than conventional symmetric ciphers."			
https://www.eventbrite.com/e/environmental-health-justice-and-leadership-training-tickets-616562524107?aff=ebdssbdestsearch	Environmental Health Justice and Leadership Training	TRUE	5/18/23 18:00	5/18/23 20:00	1854 Amsterdam Ave 1854 Amsterdam Avenue New York NY 10031	NYC	https://www.eventbrite.com/o/we-act-for-environmental-justice-30824502617	TRUE	"We created our award-winning Environmental Health and Justice Leadership Training program (EHJLT) in 2002 to help develop leaders who can advocate on behalf of their community.The pandemic has made EHJLT a challenge. But  summer we are once again able to offer a series of in person courses, and are excited to see you all in our offices once again. There are no prerequisites for these courses, and they are open to anyone 15 and older. There is no cost, either, though we encourage you to make a donation to help us continue the program and give others the same opportunity. And we ask that if you do sign up, you honor your commitment to attend all the sessions because space is limited and demand is high.A﻿LL DATES ARE IN PERSON. I﻿n order to recieve a certificate of completion you must attend most of the lecture days and complete a project. C﻿OURSE SCHEDULE: M﻿AY 13TH: RESCHEDULEDM﻿AY 18TH:   (6-8pm) Introduction to Environmental Justice, & Foundations of Organizing M﻿AY 25TH:(6-7:30 pm) Extreme Heat J﻿UNE 1ST: (6-7:30 pm) Toxic Products J﻿UNE 8TH: (6-7:30 pm)  Foundations of Air Quality J﻿UNE 22ND: (6-7:30 pm)  Decarbonization J﻿ULY 22ND AND 6TH- (6-7:30 pm) PROJECT DAYS J﻿ULY 15TH (12:30- 2:30 pm) Summer Barbeque and EXPO!  W﻿E WILL MEET AT WEACT'S OFFICE : 1854 Amsterdam Ave 2nd floor, New York, NY 10031."			
https://www.eventbrite.com/e/the-cafe-wha-cruise-feat-the-cafe-wha-house-band-tickets-615233569167?aff=ebdssbdestsearch	The Cafe Wha Cruise feat The Cafe Wha House Band	FALSE	6/12/23 18:00	6/12/23 22:00	Pier 40 NYC 353 West Street New York NY 10014	NYC	https://www.eventbrite.com/o/cafe-wha-35169766023	TRUE	"We're BACK on the HORNBLOWER INFINITY!Ahoy maties! It's that time of year again... the sun is shining, the birds are chirping, and the boat's a rockin.... don't miss out on the first Cafe Wha? Cruise of 2023 with ""The Best Damn Band in NYC ""- The Cafe Wha? House Band!This year, we're taking it BACK to PIER 40 aboard the HORNBLOWER INFINITY, a 1000-person capacity mega yacht - the largest in NYC.  There’s no other yacht like it in New York City. Hornblower Infinity Yacht Features three climate controlled decks, custom LED lighting, state-of-the-art sound system & HDTVs, four fully stocked bars & a champagne bar available, exterior sun decks & Sky Deck and five dance floors. Don't miss this opportunity to be a part of one of the most spectacular events in New York City this summer.H﻿ere are some of the details below....WHERE: Departing from and returning to Pier 40 on the Hudson RiverWHEN: Monday, June 12th TIME: Boarding begins promptly at 6:00 pm. We will return to Pier 40 at 10:00 pmAGE: This is for guests 21+ only - NO EXCEPTIONSTICKET OPTIONS : In years past, we've had different ticket tiers that granted access to different parts of the boat. This year, it's ALL GENERAL ADMISSION - come and enjoy the entire massive mega-yacht!FOOD AND BEVERAGE: The bars will be fully stocked and food will be available for purchase. No outside food or beverages allowed.*RAIN OR SHINE*ALL SALES FINALQuestions? Don't hesitate to call us at 212-254-3706 or email us at contact@cafewha.com. We'd be happy to help answer any questions you may have. Thanks and we look forward to seeing you on our first cruse of 2022!."			
https://www.eventbrite.com/e/embracing-the-root-music-and-science-event-tickets-622708336397?aff=ebdssbdestsearch	Embracing the Root Music and Science Event	FALSE	5/17/23 18:30	5/17/23 20:30	Judson Memorial Church 55 Washington Square South New York NY 10012	NYC	https://www.eventbrite.com/o/the-center-at-west-park-15248391765	TRUE	"Embracing the Root is a music theatre work in progress concerned with what humanity can learn from the wisdom of trees and roots in relation to care for the climate and life of all kinds on the planet.The project involves music, drama, dance and puppetry, and collaborates with partners of sustainable development, and science of trees and the human brain and nervous system.EMBRACING THE ROOT Presenters:Composer Carman Moore (Academy of Arts & Letters)Folk singer, climate activist Peter Yarrow (Peter,Paul&Mary)Artistic mentor Anthony Bannon (Eastmen Kodak)Actress, singer Lotte ArnsbjergNeuroscientist and biologist Sofia HidalgoDirector and Founder of The Lieber Institute Daniel WeinbergerS﻿CHEDULE:Doors Open 6:30 pm.Supper hosted by JAW 7:00pmProgram 7.30 - 8.30 pmFor more information please email debby@dhemah.com or call 917-922-8004www.embracingtheroot.com."			
